start,split,weeks_since,auroc_energy_teacherA,auroc_energy_kdA,auroc_energy_ls,auroc_energy_directTS,auroc_energy_enddA,auroc_msp_teacherA,auroc_msp_kdA,auroc_msp_ls,auroc_msp_directTS,auroc_msp_enddA,f1_kdA,ece_kdA,nll_kdA,f1_ls,ece_ls,nll_ls,f1_directTS,ece_directTS,nll_directTS,rho_kdA_A,rho_kdA_B,rho_kdB_A,rho_kdB_B,rho_kdA4_A,rho_kdA4_B,rho_kdB4_A,rho_kdB4_B,rho_direct_A,rho_direct_B,analysis
24,test_w49-51,23.0,0.8181839098448174,0.8131861777569498,0.7873950842952289,0.8149733426637626,0.7293800367424152,0.8451659899179887,0.8142515119565521,0.8102830735986124,0.8245470438460915,0.8095394721564195,0.7501755960090514,0.06369891144132177,0.8505030412926716,0.7520625212615959,0.06276467675734292,0.8194099962740446,0.7598258125845729,0.06359938110610916,0.8567565467926312,0.7572414875547429,0.7206218741325654,0.7560531855813498,0.7214522484523662,0.861546068385839,0.8135997814193948,0.8437114891301536,0.8289683109265588,0.7607469865559207,0.725743738547892,drop_duplicates
37,test_w42-45,3.5,0.8749538820568878,0.8748476261880294,0.8568391005683973,0.8749632029623253,0.7592408163521456,0.9096495978620164,0.8895078752324137,0.8835074513839096,0.8900233389775835,0.8816237746350419,0.9140707699755721,0.005412731690911533,0.2618921514801073,0.9068781399342986,0.008962480828576435,0.2700595745487702,0.9146797435977524,0.0052658407878314085,0.25061955704040195,0.7530579495396084,0.71919343495999,0.7534057626634837,0.7209211202137605,0.8928896859154256,0.8447305945966167,0.8768100802842487,0.8684758848204801,0.7542226036994896,0.7219710775846995,drop_duplicates
37,test_w46-49,7.5,0.8543782565769866,0.8521169852988831,0.8280664375421373,0.8520532326581215,0.7386844958126667,0.8871576105859525,0.8666488233709639,0.8559794543738839,0.8668727929089021,0.8574253337299569,0.8705473581408938,0.0315556531781053,0.5081306171504374,0.8636633175179902,0.028653216606433593,0.48878908675727084,0.8710730616966536,0.03241695889017883,0.4905236385140754,0.756484219899294,0.7192654842235284,0.7592180791073371,0.7236127535646943,0.8834485289022902,0.8341286972401586,0.8662080894465455,0.8553366649017593,0.7593336750106165,0.7239581588970352,drop_duplicates
37,test_w51-51,11.0,0.8288329886353487,0.8412022611083096,0.8142295433367278,0.8397248542621639,0.7228755485335167,0.8692145941677745,0.8556693058023284,0.8399355428308957,0.8563550234144494,0.8439551291062382,0.818593424947296,0.05225276645337701,0.759985930193654,0.809880798107492,0.048725205745881725,0.7434584078033466,0.8187172665405016,0.05326011500033024,0.7740519073498204,0.6964735809020213,0.6623447088262497,0.7016903288405938,0.6674876335651454,0.89704109296653,0.8430116216115681,0.8769969333429076,0.8701355897367259,0.7001731390438526,0.6671465433096497,drop_duplicates
11,test_w16-19,3.5,0.8703119706734759,0.8586837362396078,0.8584182302074956,0.8596566910262579,0.8078776495813091,0.905325659721023,0.8780877632121267,0.8744281055730067,0.878859868844122,0.8743138743032679,0.9096528625655657,0.004006371858148871,0.2442994327926901,0.9008813561207755,0.004668780265289739,0.24225155636271242,0.9091948165395909,0.0031364604354895188,0.2528590367689912,0.736446014084578,0.6884589881961699,0.7346288511297825,0.6887046419005111,0.8947687291921025,0.8399491395470926,0.8776705294628108,0.8625267402755452,0.7367699095874414,0.6901735091731713,ge5_packets
11,test_w20-23,7.5,0.8635752288398016,0.8630666667027662,0.8512310887976408,0.8647342720032434,0.7930558410256867,0.8962180606667626,0.8707524157691946,0.8604029933577856,0.8717958259014762,0.8620672960913589,0.8870592197835651,0.004516475812133781,0.3077427086812791,0.8714560903486719,0.0065197224058248255,0.30674351703693803,0.8836457969355996,0.005918994033238851,0.3281411474966744,0.7384715776694535,0.6867417077001409,0.7385050183979707,0.6884349591229966,0.8926722086840343,0.841433804857531,0.8761055001992473,0.8603181441690254,0.7401331692507854,0.689531490742631,ge5_packets
11,test_w24-27,11.5,0.8404340482879624,0.8489136263886191,0.8275082585422179,0.8510614223896775,0.7561183210785967,0.8765507771368575,0.8556612324895847,0.842300634288012,0.8565117269251787,0.8423558680550807,0.8532408194904101,0.010001055259472492,0.379900482499701,0.8407585074849542,0.008311215586096127,0.35428175929156447,0.8500667325730592,0.011677859625945149,0.3974715688646676,0.7279771842238995,0.6766237688604011,0.730429138044829,0.6802855726128988,0.8891714929902461,0.8402005406193931,0.872930348336205,0.8563141676001149,0.7311495981058936,0.6807900005524633,ge5_packets
11,test_w28-31,15.5,0.8359072157097478,0.841787822474348,0.8124187983917847,0.8448296279498076,0.7353479775799637,0.862201180648057,0.8424692614507012,0.8264107510365031,0.8445162544158235,0.8262317373058888,0.7933215923557051,0.019889422836808206,0.5688624267141883,0.7798630580977239,0.014913546879713743,0.4661706090823157,0.7854948278414045,0.022721122183347,0.5567074845461147,0.7376917020652863,0.6846195429248153,0.7410808395892602,0.688624907984827,0.8774017969788541,0.8280462901679252,0.8612747077469981,0.8410240198893926,0.7423781457794829,0.6892973957054306,ge5_packets
11,test_w32-35,19.5,0.8222204746399384,0.8268371910224808,0.7945319086004375,0.8285252038423869,0.7164390020987995,0.8460098556983912,0.823310564112087,0.8089085803364429,0.8238240044638401,0.8095566639074918,0.7518861723407008,0.03635097411106453,0.7296503107109757,0.7376801250109004,0.026675950607149553,0.5980247649233199,0.744017528157825,0.040113690710457846,0.7231683348162465,0.7338136940130723,0.6752798768895942,0.7361577520916113,0.678916639289028,0.8609899006737902,0.8093775193786522,0.8449707605921646,0.820711925773032,0.7392572407708947,0.6809466280112225,ge5_packets
11,test_w36-39,23.5,0.8210216667279148,0.8213021471968683,0.7884204905227068,0.8233310403941639,0.7220441330286438,0.8456169983031858,0.8171576067758948,0.8088361204425464,0.816717932088364,0.8063129924183811,0.7330104291112708,0.0472963185325593,0.7659214233948766,0.7138773401265075,0.039767894957548774,0.6708928124416584,0.727430754985619,0.050823437384065,0.7715847636615407,0.7400887907190026,0.6806513393079033,0.7415462647518839,0.6825884649703986,0.8582077350101267,0.8017211780061579,0.8429495965746887,0.8127422524652891,0.743866952750307,0.6841694418712384,ge5_packets
11,test_w40-43,27.5,0.8136735343252787,0.817198184758867,0.7772086190735732,0.8203716972615573,0.7134200779076939,0.8374367611987852,0.8126883168651274,0.8021606861719622,0.813138930347821,0.799346707580556,0.7313904396259071,0.05308338099415008,0.8200729801564655,0.7113688584254698,0.0450253320494924,0.7172006802757045,0.7262300468223538,0.05690743688124805,0.8233758716837261,0.746226705660072,0.6897471789530403,0.7494807594757025,0.6930151890658709,0.8583836276195446,0.8031105589491887,0.8431572981841962,0.8139345316671394,0.7487934960463345,0.6922011426816752,ge5_packets
11,test_w44-47,31.5,0.7941434741824773,0.7982384362238085,0.7608974469865789,0.8006784406306695,0.703836613384069,0.8180864909256148,0.7992910529242985,0.7865647480748438,0.7987635588776855,0.7841089761787134,0.7027834920107243,0.06401656380577277,1.0102784206805755,0.6842313515874338,0.05529311525597673,0.873366238069924,0.6963146085322283,0.06734585962263119,1.0398704721409853,0.7494128878290315,0.691465050389496,0.752711788992197,0.6952301909297204,0.8527530862898243,0.7937207181631233,0.8380434033984716,0.8041472125005609,0.7521000742976293,0.6952128121333311,ge5_packets
