start,split,weeks_since,flows,unknown,condition,macro_f1_mean,macro_f1_std,auroc_energy_mean,auroc_energy_std,auroc_msp_mean,auroc_msp_std,fpr95_energy_mean,fpr95_energy_std,oscr_energy_mean,oscr_energy_std,ece_mean,ece_std,ece_ts_mean,ece_ts_std,nll_mean,nll_std,nll_ts_mean,nll_ts_std,aurc_mean,aurc_std
11,test_w16-19,3.5,all,all,direct,0.9011444295313299,0.001983426456420563,0.8552953803333333,0.0031137216161954105,0.8770607903999998,0.0013989143589028447,0.6345833333333334,0.005155737903863402,0.8222568714999999,0.003187845003426652,0.0044395930675168,0.0007437561046470415,0.0038879220056284667,0.0006835247486511965,0.28751396139462787,0.0076603713722174175,0.2829861044883728,0.007355729142215954,0.005540014001751667,8.591493684535064e-05
11,test_w16-19,3.5,all,all,directTS,0.9011444295313299,0.001983426456420563,0.85470715325,0.00311031732691261,0.8776418970666667,0.0014333581023009774,0.6383066666666667,0.0036253735439721537,0.8216494762000001,0.0031783034038497977,0.0038879220056284667,0.0006835247486511965,,,0.2829861044883728,0.007355729142215954,,,0.0055266833219272,8.62724304798566e-05
11,test_w16-19,3.5,all,all,enddA,0.8908448324500057,0.001696347462659849,0.81051165145,0.008159745397455707,0.8737582707666666,0.0016328741425267787,0.5935833333333332,0.019019969330504597,0.7720263152000001,0.007186204980570467,0.0067333708745986,7.072321112736122e-05,0.005592505673592266,0.0003739782510261117,0.29116826256116224,0.0028627635500090244,0.291145771741867,0.002984033021227909,0.007392053300206533,8.990602544959557e-05
11,test_w16-19,3.5,all,all,kdA,0.9015943798755844,0.003695782939342823,0.8538116295833333,0.004576373391046104,0.8772557843666666,0.002118735233800483,0.6157866666666666,0.010877556404511709,0.8202477246666667,0.005323999354228549,0.0052450972087432325,0.00026673358942725647,0.004639658710310833,0.0005885409039438478,0.27945653597513836,0.005601147218981672,0.2747548619906108,0.005076239507181255,0.005454985475148034,0.00010803726484071248
11,test_w16-19,3.5,all,all,kdA4,0.8856009801686118,0.0019620815881123002,0.8370064151333333,0.002641465802912423,0.8577502176499999,0.0019666401457376966,0.6059766666666667,0.009311994057844563,0.7986284294999999,0.002286547066925353,0.0412767815207441,0.0005983570646943476,0.006658757029076367,0.0007962153088882645,0.3608883122603099,0.0016549143441089043,0.2862929304440816,0.001077627791040171,0.007462017641690133,4.980316279778105e-05
11,test_w16-19,3.5,all,all,kdB,0.9017527986979316,0.004558505492284318,0.8504705836666666,0.0036419458728186526,0.8738315516166667,0.0007481092037712518,0.6284766666666667,0.0160206408527665,0.8170722107666665,0.004523252379942906,0.004674164808665666,0.000743095862978176,0.004533771027078166,0.00011233502990159197,0.2768612603346507,0.006851605491498851,0.27242800593376154,0.006211518907811364,0.0055223613764756,0.0002196242953913286
11,test_w16-19,3.5,all,all,kdB4,0.8849236217205302,0.0006333391596058975,0.8385353153333334,0.0010038711606578097,0.8555439892500001,0.0015200650989749375,0.60932,0.017384070294381566,0.8011847188000001,0.0005431436603670194,0.0467050453305989,0.00021488257443243847,0.006264477163801567,0.00027444534396143605,0.4137224654356639,0.009285272577814667,0.2964857717355092,0.004775355827556019,0.0077207123337163334,0.00010646389766532941
11,test_w16-19,3.5,all,all,ls,0.8928362112884445,0.0032526296593082984,0.8564594465166667,0.006960945265971566,0.8741953059833333,0.004664283767031773,0.5914066666666667,0.014111067760213323,0.8188564517,0.006281150121858505,0.06131576159858453,0.0006567349301617319,0.006239484215105566,0.0005360983179158065,0.31804941097895306,0.005042388862612673,0.2753318150838216,0.004747146850129141,0.0072831224880394,0.00034816607465412713
11,test_w16-19,3.5,all,all,teacherA,0.956461212426506,,0.86907145645,,0.9063782962,,0.45676,,0.8539834612,,0.003420454327464,,0.0031459153746068,,0.1154825016856193,,0.1138367503881454,,0.0014937682164756,
11,test_w16-19,3.5,all,all,teacherA_member,0.9508100570705069,0.0016458008313827602,0.8575619191999999,0.00985754899359553,0.88735564359,0.004453426898007984,0.48524199999999995,0.007866658757058168,0.8411955215999999,0.009795450522813618,0.01041343341755864,0.000493891487273208,0.0025000132036954,0.0003226945084967974,0.13908515274524685,0.004203993307108926,0.12745937705039972,0.003626855977096314,0.00187860873919274,6.926085165277216e-05
11,test_w16-19,3.5,all,all,teacherB,0.9571245383541096,,0.87999928695,,0.8877153653499998,,0.43409,,0.865086457,,0.0107082344071566,,0.0031665697544812,,0.1285415887832641,,0.1126241981983184,,0.0015647764293324,
11,test_w16-19,3.5,all,far,direct,0.9011444295313299,0.001983426456420563,0.8530270785048852,0.0025562921804928194,0.8789016721199726,0.0016230926339913996,0.6334469438763918,0.0028661172790138707,0.8200382423312883,0.002811361146443207,0.0044395930675168,0.0007437561046470415,0.0038879220056284667,0.0006835247486511965,0.28751396139462787,0.0076603713722174175,0.2829861044883728,0.007355729142215954,0.005540014001751667,8.591493684535064e-05
11,test_w16-19,3.5,all,far,directTS,0.9011444295313299,0.001983426456420563,0.8524171214496704,0.002542240574327441,0.8794063605998637,0.0016615141493627208,0.6375444974626979,0.0011365787092675057,0.8194167291145953,0.002794700968875469,0.0038879220056284667,0.0006835247486511965,,,0.2829861044883728,0.007355729142215954,,,0.0055266833219272,8.62724304798566e-05
11,test_w16-19,3.5,all,far,enddA,0.8908448324500057,0.001696347462659849,0.8209436007157466,0.008131882505002954,0.878012395819132,0.0022001966768839002,0.5809361508748011,0.02482930022241073,0.7816019443308341,0.006959153649296582,0.0067333708745986,7.072321112736122e-05,0.005592505673592266,0.0003739782510261117,0.29116826256116224,0.0028627635500090244,0.291145771741867,0.002984033021227909,0.007392053300206533,8.990602544959557e-05
11,test_w16-19,3.5,all,far,kdA,0.9015943798755844,0.003695782939342823,0.8524262748239037,0.004932210894200833,0.8794581129288798,0.002327743085118163,0.6112322956903734,0.008992174603802413,0.8187495314322503,0.0056700127491284,0.0052450972087432325,0.00026673358942725647,0.004639658710310833,0.0005885409039438478,0.27945653597513836,0.005601147218981672,0.2747548619906108,0.005076239507181255,0.005454985475148034,0.00010803726484071248
11,test_w16-19,3.5,all,far,kdA4,0.8856009801686118,0.0019620815881123002,0.8395141221123987,0.002712050936599585,0.8627058408694994,0.0015746064357240546,0.6049799288040597,0.008410222044485426,0.8009178502991744,0.0026290285725348293,0.0412767815207441,0.0005983570646943476,0.006658757029076367,0.0007962153088882645,0.3608883122603099,0.0016549143441089043,0.2862929304440816,0.001077627791040171,0.007462017641690133,4.980316279778105e-05
11,test_w16-19,3.5,all,far,kdB,0.9017527986979316,0.004558505492284318,0.8484427534083162,0.0033796930786681996,0.876491524464137,0.0012763103506252646,0.6252026054684542,0.020411936582490384,0.8150055444217225,0.004289778410355137,0.004674164808665666,0.000743095862978176,0.004533771027078166,0.00011233502990159197,0.2768612603346507,0.006851605491498851,0.27242800593376154,0.006211518907811364,0.0055223613764756,0.0002196242953913286
11,test_w16-19,3.5,all,far,kdB4,0.8849236217205302,0.0006333391596058975,0.8432161387942134,0.001958246661203077,0.8621897076232674,0.001543260437483803,0.6030031053548436,0.01903433470553208,0.805384124252064,0.00159384880133517,0.0467050453305989,0.00021488257443243847,0.006264477163801567,0.00027444534396143605,0.4137224654356639,0.009285272577814667,0.2964857717355092,0.004775355827556019,0.0077207123337163334,0.00010646389766532941
11,test_w16-19,3.5,all,far,ls,0.8928362112884445,0.0032526296593082984,0.861571162122245,0.007517858599024714,0.8797627862228281,0.004511642742505981,0.5856396273574188,0.011806907020680487,0.8236041259940922,0.00683961638642655,0.06131576159858453,0.0006567349301617319,0.006239484215105566,0.0005360983179158065,0.31804941097895306,0.005042388862612673,0.2753318150838216,0.004747146850129141,0.0072831224880394,0.00034816607465412713
11,test_w16-19,3.5,all,far,teacherA,0.956461212426506,,0.8710890149965916,,0.9114347260849808,,0.443978641217905,,0.8557467289252443,,0.003420454327464,,0.0031459153746068,,0.1154825016856193,,0.1138367503881454,,0.0014937682164756,
11,test_w16-19,3.5,all,far,teacherA_member,0.9508100570705069,0.0016458008313827602,0.8599934993978641,0.0114741114453097,0.8939165659168371,0.005604403280920714,0.47312883435582825,0.01036234781663004,0.8433680234492161,0.011380410162113332,0.01041343341755864,0.000493891487273208,0.0025000132036954,0.0003226945084967974,0.13908515274524685,0.004203993307108926,0.12745937705039972,0.003626855977096314,0.00187860873919274,6.926085165277216e-05
11,test_w16-19,3.5,all,far,teacherB,0.9571245383541096,,0.8877457204612587,,0.8982240349352422,,0.4181322426721199,,0.872452915473756,,0.0107082344071566,,0.0031665697544812,,0.1285415887832641,,0.1126241981983184,,0.0015647764293324,
11,test_w16-19,3.5,all,near,direct,0.9011444295313299,0.001983426456420563,0.871961150528659,0.007510173198257822,0.8635353806343907,0.0026086079022195163,0.6429326655537007,0.022020965763093887,0.8385576844741235,0.0067073254740316855,0.0044395930675168,0.0007437561046470415,0.0038879220056284667,0.0006835247486511965,0.28751396139462787,0.0076603713722174175,0.2829861044883728,0.007355729142215954,0.005540014001751667,8.591493684535064e-05
11,test_w16-19,3.5,all,near,directTS,0.9011444295313299,0.001983426456420563,0.8715325788814692,0.007595785585078743,0.8646779504730105,0.0025463670142961913,0.6439065108514189,0.022795011359635037,0.8380540169727323,0.0067627085250529665,0.0038879220056284667,0.0006835247486511965,,,0.2829861044883728,0.007355729142215954,,,0.0055266833219272,8.62724304798566e-05
11,test_w16-19,3.5,all,near,enddA,0.8908448324500057,0.001696347462659849,0.7338655601001669,0.008366177621430796,0.8425021700055648,0.0035512721437052273,0.686505286588759,0.023697994857200033,0.7016718180300501,0.008857099930441892,0.0067333708745986,7.072321112736122e-05,0.005592505673592266,0.0003739782510261117,0.29116826256116224,0.0028627635500090244,0.291145771741867,0.002984033021227909,0.007392053300206533,8.990602544959557e-05
11,test_w16-19,3.5,all,near,kdA,0.9015943798755844,0.003695782939342823,0.8639901709794101,0.002518659536572324,0.8610747359488036,0.003233199467295509,0.6492487479131887,0.029057407507684534,0.83125531803005,0.0033621948529863254,0.0052450972087432325,0.00026673358942725647,0.004639658710310833,0.0005885409039438478,0.27945653597513836,0.005601147218981672,0.2747548619906108,0.005076239507181255,0.005454985475148034,0.00010803726484071248
11,test_w16-19,3.5,all,near,kdA4,0.8856009801686118,0.0019620815881123002,0.8185816765442405,0.009252210589952629,0.821340037701725,0.006194779974642936,0.6132999443516973,0.016628905674687472,0.7818074930439621,0.007880222784161967,0.0412767815207441,0.0005983570646943476,0.006658757029076367,0.0007962153088882645,0.3608883122603099,0.0016549143441089043,0.2862929304440816,0.001077627791040171,0.007462017641690133,4.980316279778105e-05
11,test_w16-19,3.5,all,near,kdB,0.9017527986979316,0.004558505492284318,0.8653695502225931,0.006495694193081488,0.854288078324986,0.007144658914850956,0.6525319977740679,0.019647141403718302,0.8322565155815247,0.0065894839542315975,0.004674164808665666,0.000743095862978176,0.004533771027078166,0.00011233502990159197,0.2768612603346507,0.006851605491498851,0.27242800593376154,0.006211518907811364,0.0055223613764756,0.0002196242953913286
