model,split,flows,unknown,temperature,n_known,n_unknown,accuracy,macro_f1,auroc_msp,fpr95_msp,oscr_msp,auroc_energy,fpr95_energy,oscr_energy,ece,nll,brier,aurc,auroc_neg_kth_distance,fpr95_neg_kth_distance,oscr_neg_kth_distance
xgboost_flowstats,val,all,all,,200000,53779,0.91549,0.8827970267393032,0.843704226091969,0.7505345952881236,0.8148095508469848,0.8551220021755704,0.7107793004704439,0.8184194609420035,0.003981243212409312,0.31189629435539246,0.11966761012339908,0.008112419861343664,,,
xgboost_flowstats,val,all,near,,200000,10959,0.91549,0.8827970267393032,0.8598375120905192,0.714572497490647,0.8281368227028013,0.8747569798795509,0.7092800437996167,0.8351222734738571,0.003981243212409312,0.31189629435539246,0.11966761012339908,0.008112419861343664,,,
xgboost_flowstats,val,all,far,,200000,42820,0.91549,0.8827970267393032,0.8395752050443719,0.7597384399813172,0.811398678070995,0.8500967868402616,0.7111630079402148,0.8141446799392809,0.003981243212409312,0.31189629435539246,0.11966761012339908,0.008112419861343664,,,
xgboost_flowstats,val,ge5,all,,191366,52270,0.9214228232810426,0.8888150683111398,0.8495660294576319,0.7352592309163957,0.8225926975190687,0.8595852098573513,0.7048402525349149,0.8257188303068729,0.0033902208698287483,0.2878640294075012,0.11169891686221493,0.007196814631598454,,,
xgboost_flowstats,val,ge5,near,,191366,10483,0.9214228232810426,0.8888150683111398,0.8647477635470011,0.7008489936086998,0.8351998357074526,0.8794432454358481,0.6953162262711056,0.8425521935938003,0.0033902208698287483,0.2878640294075012,0.11169891686221493,0.007196814631598454,,,
xgboost_flowstats,val,ge5,far,,191366,41787,0.9214228232810426,0.8888150683111398,0.8457574258618041,0.7438916409409625,0.8194299763467225,0.8546034742225993,0.7072295211429392,0.8214958866321213,0.0033902208698287483,0.2878640294075012,0.11169891686221493,0.007196814631598454,,,
knn_ppi,val,all,all,,200000,53779,0.799375,0.7117152273019055,0.7778901554045259,0.9102623700701017,0.7342154377173247,,,,0.038779996083341546,2.4274535179138184,0.2739143009097474,0.04585829790819633,0.7454038748861079,0.8776845980773165,0.6412758472638019
knn_ppi,val,all,near,,200000,10959,0.799375,0.7117152273019055,0.7054752691851446,0.9659640478145817,0.7115982019344831,,,,0.038779996083341546,2.4274535179138184,0.2739143009097474,0.04585829790819633,0.6709998407701433,0.8890409708915047,0.5843991039328404
knn_ppi,val,all,far,,200000,42820,0.799375,0.7117152273019055,0.7964234281293787,0.8960065390004671,0.7400039077533863,,,,0.038779996083341546,2.4274535179138184,0.2739143009097474,0.04585829790819633,0.7644462338276505,0.8747781410555815,0.6558324149929939
knn_ppi,val,ge5,all,,191366,52270,0.8032200077338713,0.7114571006219192,0.7797254693357908,0.9100631337287163,0.7380893493523482,,,,0.037341005233202794,2.3388712406158447,0.2687503535793107,0.04427741618656522,0.746863917399461,0.8789554237612397,0.6470978897077521
knn_ppi,val,ge5,near,,191366,10483,0.8032200077338713,0.7114571006219192,0.7065506833463363,0.9658494705714014,0.7156011429514397,,,,0.037341005233202794,2.3388712406158447,0.2687503535793107,0.04427741618656522,0.67889757249937,0.8906801488123629,0.5952981003624854
knn_ppi,val,ge5,far,,191366,41787,0.8032200077338713,0.7114571006219192,0.7980826445703723,0.8960681551678752,0.743730909351887,,,,0.037341005233202794,2.3388712406158447,0.2687503535793107,0.04427741618656522,0.7639144640667894,0.8760140713619068,0.6600927730855113
