score,comparison,kind,units,estimate,ci_low,ci_high,p_one_sided,n_boot
energy,teacherA - direct student,teacher,18,0.00038728150706451647,-0.0036057279065208445,0.004064501167141352,0.4418604651162791,300
energy,teacherB - direct student,teacher,18,0.005148778763200435,0.0011741360054899844,0.008983686867751464,0.006644518272425249,300
energy,enddA - direct student,student,18,-0.09271238717683236,-0.10043962301475515,-0.08517986026483715,1.0,300
energy,hardA - direct student,student,18,-0.0027343123597712645,-0.005596016001148527,-0.0005207387399815621,0.9900332225913622,300
energy,kdA - direct student,student,18,-0.0007033243784593225,-0.002472593159410266,0.001037039034522301,0.7840531561461794,300
energy,kdA4 - direct student,student,18,-0.026058423462515048,-0.02986543645296762,-0.02262697769949247,1.0,300
energy,kdB - direct student,student,18,-0.00371884293376781,-0.006107741875706301,-0.0020547797492189717,1.0,300
energy,kdB4 - direct student,student,18,-0.024921265377464297,-0.029041190605188005,-0.021259101057579534,1.0,300
energy,kdM0 - direct student,student,18,-0.028185853117642632,-0.032953723722402906,-0.0238676236510759,1.0,300
energy,kdM1 - direct student,student,18,-0.02671192513769945,-0.030530553126902615,-0.023077773067737273,1.0,300
energy,ls - direct student,student,18,-0.021680798169783272,-0.02836463217817414,-0.015367507782732515,1.0,300
msp,teacherA - direct student,teacher,18,0.02422470407610382,0.0229801956171917,0.025547855391465705,0.0033222591362126247,300
msp,teacherB - direct student,teacher,18,-0.007147818605031388,-0.008946488163980767,-0.00552683736882057,1.0,300
msp,enddA - direct student,student,18,-0.008171828414936709,-0.010242675718090075,-0.005846247116309517,1.0,300
msp,hardA - direct student,student,18,-0.002461184973162852,-0.0037420672860123062,-0.0010796590054453826,1.0,300
msp,kdA - direct student,student,18,-0.0005998147337409105,-0.001453348978494256,0.0002104536535691546,0.9169435215946844,300
msp,kdA4 - direct student,student,18,-0.027032895450417673,-0.029387947756670182,-0.024597909436451924,1.0,300
msp,kdB - direct student,student,18,-0.004004853664648939,-0.005273322254180246,-0.002545333171425457,1.0,300
msp,kdB4 - direct student,student,18,-0.0355977676526494,-0.03760012002336429,-0.033712610815640906,1.0,300
msp,kdM0 - direct student,student,18,-0.02680968563437304,-0.029805584499083923,-0.023700897506660525,1.0,300
msp,kdM1 - direct student,student,18,-0.02580326029529301,-0.027319508794037925,-0.024190777489487253,1.0,300
msp,ls - direct student,student,18,-0.006813879993743061,-0.009014494662757846,-0.004814971925599665,1.0,300
maha,teacherA - direct student,teacher,18,0.07269944350160121,0.06389369281489868,0.08221095848525388,0.0033222591362126247,300
maha,teacherB - direct student,teacher,18,0.03198020425996062,0.023028245288911356,0.0415043530553243,0.0033222591362126247,300
maha,enddA - direct student,student,18,0.07384031896944605,0.0664268194212313,0.08231093920989492,0.0033222591362126247,300
maha,kdA - direct student,student,18,-0.0030501330821549664,-0.009971812158355851,0.0055354751588208104,0.7242524916943521,300
maha,kdA4 - direct student,student,18,0.07631359394589848,0.06914919494643863,0.08329113682377946,0.0033222591362126247,300
maha,kdB - direct student,student,18,0.00229089900473806,-0.004869896923901587,0.009054822165693642,0.2823920265780731,300
maha,kdB4 - direct student,student,18,0.053147243027771136,0.04419035298128476,0.06098743676404681,0.0033222591362126247,300
maha,ls - direct student,student,18,0.08760890705851455,0.08147085809095986,0.09422499598100406,0.0033222591362126247,300
knnfeat,teacherA - direct student,teacher,18,0.0338059494100952,0.028033104073840215,0.039453903617234456,0.0033222591362126247,300
knnfeat,teacherB - direct student,teacher,18,0.025851272481694613,0.019861374835017195,0.03151045015957725,0.0033222591362126247,300
knnfeat,enddA - direct student,student,18,0.04403896943821094,0.037614472637957724,0.04984620941663254,0.0033222591362126247,300
knnfeat,kdA - direct student,student,18,0.001128439379389137,-0.005172611664461189,0.006249551605302524,0.3521594684385382,300
knnfeat,kdA4 - direct student,student,18,0.026062825116279924,0.0194532773972257,0.03139785601678228,0.0033222591362126247,300
knnfeat,kdB - direct student,student,18,0.002574563654943039,-0.002843985686358427,0.006090776196349602,0.22259136212624583,300
knnfeat,kdB4 - direct student,student,18,0.008590052097340496,0.002662980513677665,0.01355998149655322,0.0033222591362126247,300
knnfeat,ls - direct student,student,18,0.042636872663739854,0.03733152321890762,0.04833109987584191,0.0033222591362126247,300
