start,n_windows,slope_per_week,first,last,condition,score
11,9,-0.0004946808643440398,0.015266567333333314,-0.00844413333333327,kdA,energy
24,6,0.00013857089458750463,0.0017359058166667163,0.005749827716666656,kdA,energy
37,3,-0.0015182393723820074,0.0029667150333333447,-0.008792580677237538,kdA,energy
11,9,-0.0004389342309288143,0.031777832650000004,0.016948247249999993,kdA4,energy
24,6,-0.0005520600144692893,0.033988721750000006,0.024121425616666636,kdA4,energy
37,3,-0.0011198526866656043,0.03210510453333326,0.023518319335765647,kdA4,energy
