student,teacher,split,n_known,n_unknown,spearman_energy,spearman_energy_unknown,spearman_msp,spearman_msp_unknown,top1_agreement_known,error_jaccard_known,start,condition,seed,weeks_since
student_direct_w16_s0,A,val,200000,53779,0.45105741781461445,0.619490785609507,0.7013370862957815,0.5191474656852071,0.923455,0.2536711131039121,11,direct_w16,0,1.0
student_direct_w16_s0,B,val,200000,53779,0.41091575124876173,0.5451969892542934,0.618979559387336,0.41799571969352967,0.92139,0.242880978865406,11,direct_w16,0,1.0
student_directTS_w16_s0,A,val,200000,53779,0.45094128021341545,0.6192879842953092,0.7013746928398719,0.5195022848323788,0.923455,0.2536711131039121,11,directTS_w16,0,1.0
student_directTS_w16_s0,B,val,200000,53779,0.4107872158295608,0.5449693986626345,0.61899983561029,0.41827646833018367,0.92139,0.242880978865406,11,directTS_w16,0,1.0
student_direct_w16_s0,A,test_w16-19,100000,100000,0.698589440094131,0.6323772434801105,0.7755069508634093,0.4526640650550654,0.91636,0.27589671455842457,11,direct_w16,0,3.5
student_direct_w16_s0,B,test_w16-19,100000,100000,0.6512859470617177,0.5429543636052132,0.7343967916324642,0.4098440472968141,0.91391,0.2581351378246592,11,direct_w16,0,3.5
student_directTS_w16_s0,A,test_w16-19,100000,100000,0.6984141505207857,0.6321736817414044,0.7756882931829514,0.45322577995660973,0.91636,0.27589671455842457,11,directTS_w16,0,3.5
student_directTS_w16_s0,B,test_w16-19,100000,100000,0.6510856785377221,0.5427531026107574,0.7345162798849986,0.41016300756816115,0.91391,0.2581351378246592,11,directTS_w16,0,3.5
student_direct_w16_s0,A,test_w20-23,100000,100000,0.707456011688608,0.6470597967471459,0.7775158972512539,0.45401974251140087,0.90417,0.30062685007835627,11,direct_w16,0,7.5
student_direct_w16_s0,B,test_w20-23,100000,100000,0.6543065385959482,0.5471618312355314,0.7360880577395058,0.4099199471775083,0.90226,0.279126213592233,11,direct_w16,0,7.5
student_directTS_w16_s0,A,test_w20-23,100000,100000,0.7072929081666002,0.6468679665473381,0.7777218473407157,0.45462431301740946,0.90417,0.30062685007835627,11,directTS_w16,0,7.5
student_directTS_w16_s0,B,test_w20-23,100000,100000,0.6541179869972409,0.5469683422941327,0.7362454333990363,0.4103715921864874,0.90226,0.279126213592233,11,directTS_w16,0,7.5
student_direct_w16_s0,A,test_w24-27,100000,100000,0.6936429870391342,0.6513082377738088,0.7641745499401502,0.46511929108363514,0.8975,0.35924534210114295,11,direct_w16,0,11.5
student_direct_w16_s0,B,test_w24-27,100000,100000,0.6406672432940475,0.5588392354649317,0.716723957815332,0.4208916454739105,0.89257,0.339503351614869,11,direct_w16,0,11.5
student_directTS_w16_s0,A,test_w24-27,100000,100000,0.6934894558829565,0.6511754844568792,0.7643718601005801,0.46568709659682744,0.8975,0.35924534210114295,11,directTS_w16,0,11.5
