[08:52:00] Loading cached arrays from C:\datasets\cache\tls-year22_S_121012501890
[08:52:03] Teacher A targets at T in [1.0, 2.0, 4.0]
[09:29:04] kdA_T2_a0.9 epoch 6/10: train_loss=0.7071, seconds=11.3, val_loss=0.3041, val_macro_f1=0.8924
[09:29:17] kdA_T2_a0.9 epoch 7/10: train_loss=0.6502, seconds=12.7, val_loss=0.2962, val_macro_f1=0.8953
[09:29:30] kdA_T2_a0.9 epoch 8/10: train_loss=0.6076, seconds=12.2, val_loss=0.2831, val_macro_f1=0.8993
[09:29:41] kdA_T2_a0.9 epoch 9/10: train_loss=0.5806, seconds=11.3, val_loss=0.2804, val_macro_f1=0.9003
[09:29:53] kdA_T2_a0.9 epoch 10/10: train_loss=0.5671, seconds=11.2, val_loss=0.2778, val_macro_f1=0.9005
[09:29:53] kdA_T2_a0.9: macro-F1 0.9005 (epoch 10)
[09:30:08] kdA_T4_a0.5 epoch 1/10: train_loss=8.883, seconds=11.5, val_loss=0.7056, val_macro_f1=0.7595
[09:30:20] kdA_T4_a0.5 epoch 2/10: train_loss=2.423, seconds=11.3, val_loss=0.493, val_macro_f1=0.8321
[09:30:33] kdA_T4_a0.5 epoch 3/10: train_loss=1.893, seconds=12.4, val_loss=0.4301, val_macro_f1=0.8564
[09:30:45] kdA_T4_a0.5 epoch 4/10: train_loss=1.665, seconds=11.5, val_loss=0.3982, val_macro_f1=0.8678
[09:30:56] kdA_T4_a0.5 epoch 5/10: train_loss=1.522, seconds=11.4, val_loss=0.3685, val_macro_f1=0.8738
[09:31:08] kdA_T4_a0.5 epoch 6/10: train_loss=1.42, seconds=11.4, val_loss=0.3459, val_macro_f1=0.8797
[09:31:21] kdA_T4_a0.5 epoch 7/10: train_loss=1.344, seconds=12.4, val_loss=0.3385, val_macro_f1=0.8844
[09:31:35] kdA_T4_a0.5 epoch 8/10: train_loss=1.287, seconds=13.8, val_loss=0.3249, val_macro_f1=0.886
[09:31:53] kdA_T4_a0.5 epoch 9/10: train_loss=1.252, seconds=17.3, val_loss=0.322, val_macro_f1=0.8877
[09:32:18] kdA_T4_a0.5 epoch 10/10: train_loss=1.235, seconds=24.5, val_loss=0.3196, val_macro_f1=0.8879
[09:32:18] kdA_T4_a0.5: macro-F1 0.8879 (epoch 10)
[09:32:46] kdA_T4_a0.9 epoch 1/10: train_loss=14.33, seconds=27.4, val_loss=0.7693, val_macro_f1=0.7529
[09:33:12] kdA_T4_a0.9 epoch 2/10: train_loss=3.799, seconds=24.7, val_loss=0.5452, val_macro_f1=0.8224
[09:33:44] kdA_T4_a0.9 epoch 3/10: train_loss=2.968, seconds=31.3, val_loss=0.469, val_macro_f1=0.8468
[09:34:12] kdA_T4_a0.9 epoch 4/10: train_loss=2.614, seconds=27.7, val_loss=0.4461, val_macro_f1=0.8598
[09:34:37] kdA_T4_a0.9 epoch 5/10: train_loss=2.398, seconds=24.4, val_loss=0.4022, val_macro_f1=0.8674
[09:35:00] kdA_T4_a0.9 epoch 6/10: train_loss=2.243, seconds=23.3, val_loss=0.3752, val_macro_f1=0.8749
[09:35:27] kdA_T4_a0.9 epoch 7/10: train_loss=2.126, seconds=26, val_loss=0.369, val_macro_f1=0.8782
[09:35:54] kdA_T4_a0.9 epoch 8/10: train_loss=2.04, seconds=26.3, val_loss=0.3551, val_macro_f1=0.8798
[09:36:21] kdA_T4_a0.9 epoch 9/10: train_loss=1.986, seconds=27.1, val_loss=0.3524, val_macro_f1=0.882
[09:36:47] kdA_T4_a0.9 epoch 10/10: train_loss=1.96, seconds=25, val_loss=0.3507, val_macro_f1=0.8821
[09:36:47] kdA_T4_a0.9: macro-F1 0.8821 (epoch 10)
[09:37:12] ls_0.05 epoch 1/10: train_loss=1.851, seconds=25, val_loss=0.6112, val_macro_f1=0.7643
[09:37:39] ls_0.05 epoch 2/10: train_loss=0.9304, seconds=25.6, val_loss=0.4663, val_macro_f1=0.8339
[09:38:05] ls_0.05 epoch 3/10: train_loss=0.8455, seconds=26.5, val_loss=0.4006, val_macro_f1=0.8596
[09:38:37] ls_0.05 epoch 4/10: train_loss=0.8043, seconds=31.3, val_loss=0.3791, val_macro_f1=0.869
[09:38:53] ls_0.05 epoch 5/10: train_loss=0.777, seconds=14.8, val_loss=0.3509, val_macro_f1=0.8795
[09:39:05] ls_0.05 epoch 6/10: train_loss=0.7557, seconds=11.9, val_loss=0.3419, val_macro_f1=0.8828
[09:39:19] ls_0.05 epoch 7/10: train_loss=0.7389, seconds=13.6, val_loss=0.3269, val_macro_f1=0.8872
[09:39:32] ls_0.05 epoch 8/10: train_loss=0.7259, seconds=12.8, val_loss=0.3191, val_macro_f1=0.8907
[09:39:46] ls_0.05 epoch 9/10: train_loss=0.7169, seconds=13.9, val_loss=0.3141, val_macro_f1=0.8929
[09:40:07] ls_0.05 epoch 10/10: train_loss=0.7125, seconds=20.2, val_loss=0.3142, val_macro_f1=0.8928
[09:40:07] ls_0.05: macro-F1 0.8929 (epoch 9)
[09:40:33] ls_0.1 epoch 1/10: train_loss=2.119, seconds=25.2, val_loss=0.6649, val_macro_f1=0.7618
[09:40:58] ls_0.1 epoch 2/10: train_loss=1.284, seconds=24.1, val_loss=0.5451, val_macro_f1=0.8288
[09:41:25] ls_0.1 epoch 3/10: train_loss=1.204, seconds=26.1, val_loss=0.4758, val_macro_f1=0.8524
[09:41:49] ls_0.1 epoch 4/10: train_loss=1.166, seconds=23.6, val_loss=0.46, val_macro_f1=0.8632
[09:42:18] ls_0.1 epoch 5/10: train_loss=1.14, seconds=28.7, val_loss=0.4305, val_macro_f1=0.8732
[09:42:43] ls_0.1 epoch 6/10: train_loss=1.12, seconds=25.1, val_loss=0.4063, val_macro_f1=0.8786
[09:43:08] ls_0.1 epoch 7/10: train_loss=1.104, seconds=24, val_loss=0.404, val_macro_f1=0.8813
[09:43:31] ls_0.1 epoch 8/10: train_loss=1.092, seconds=22.2, val_loss=0.3895, val_macro_f1=0.8862
[09:43:55] ls_0.1 epoch 9/10: train_loss=1.084, seconds=24.1, val_loss=0.3874, val_macro_f1=0.8876
[09:44:18] ls_0.1 epoch 10/10: train_loss=1.079, seconds=22.9, val_loss=0.3877, val_macro_f1=0.8883
