start,split,weeks_since,auroc_energy_teacherA,auroc_energy_kdA,auroc_energy_ls,auroc_energy_directTS,auroc_energy_enddA,auroc_msp_teacherA,auroc_msp_kdA,auroc_msp_ls,auroc_msp_directTS,auroc_msp_enddA,f1_kdA,ece_kdA,nll_kdA,f1_ls,ece_ls,nll_ls,f1_directTS,ece_directTS,nll_directTS,rho_kdA_A,rho_kdA_B,rho_kdB_A,rho_kdB_B,rho_kdA4_A,rho_kdA4_B,rho_kdB4_A,rho_kdB4_B,rho_direct_A,rho_direct_B,analysis
11,test_w16-19,3.5,0.86912815005,0.8538615827166667,0.8564594435166667,0.8547469708,0.8105328371333332,0.904544364,0.8760484931333333,0.8741962812833333,0.8768812872833333,0.87375828965,0.9015943798755843,0.004659532165527343,0.2747548734857741,0.8928362112884444,0.006242933553059895,0.2753317979268574,0.9011444295313298,0.003899905598958333,0.2829861195847889,0.7610892736856636,0.7137565541470519,0.7589986893866674,0.7133944695337711,0.8950424947325322,0.8434663496218853,0.8788302334663274,0.8616265693735924,0.76150798020661,0.7152924339798398,primary
11,test_w20-23,7.5,0.86296738665,0.8575537709999999,0.8501275591166666,0.8591058981333333,0.7962329165666666,0.89605533855,0.8689566732833333,0.8612064231166666,0.8701322908666667,0.8619295499166666,0.8803168716211871,0.004093627726236978,0.3338044049743486,0.8640521918077707,0.008561044514973958,0.337089292852588,0.8768337359871775,0.005035369059244791,0.3530787415202154,0.7613295384812963,0.7100259982705386,0.7608844357464809,0.7109689967636842,0.8919450454862492,0.8427535010098609,0.8762526203181734,0.8576626842979969,0.7630264021733746,0.7126617653328196,primary
11,test_w24-27,11.5,0.84100601,0.84569962275,0.8278843561833333,0.84743826095,0.7617544899666666,0.87818141315,0.8562856268500001,0.8449948693666667,0.8573441851499999,0.8448238824166667,0.8483295550218283,0.009522187703450521,0.40808022939742844,0.8353349610191142,0.010445222574869791,0.3876102543828517,0.8451130926522747,0.010850895589192708,0.4263066552935993,0.7498680400237476,0.6987071095136372,0.7515145861354189,0.7012522087380331,0.8877433249279002,0.8404489408537862,0.8724907528457504,0.8530911517065312,0.7530380469770168,0.7027752434840836,primary
11,test_w28-31,15.5,0.82946782395,0.8326199715333333,0.8084248846333333,0.8346965234166666,0.7332732940833333,0.8585708321,0.8373897030833333,0.8241505532,0.8390876256833333,0.8242394354333332,0.7880333418657105,0.01965034871419271,0.6015338025173202,0.7746945774644257,0.018247571411132812,0.5072009530325567,0.7801927992022686,0.02232884318033854,0.5909666164740273,0.7470128770761515,0.6922466185723773,0.7499910349259009,0.6956671723118246,0.8756317591873936,0.8251626659341703,0.8602381688288647,0.8370333345212473,0.7521856465398892,0.697278234089636,primary
11,test_w32-35,19.5,0.8146222198,0.8180308532666666,0.7913536646999999,0.8187681354499999,0.7149749286833333,0.8424892759,0.8194227696999998,0.8074271676999999,0.8193591417833332,0.8080369591333333,0.7468906872836656,0.038199970703124995,0.772218780395003,0.7333070422296214,0.032626295776367185,0.6505859384788151,0.7396067804741215,0.04106538248697916,0.7737423755708399,0.7420039751514949,0.6828820123785723,0.7443734068143737,0.6863409896119719,0.8596949421130606,0.8076152552858537,0.8443556172552662,0.8179591912890661,0.7477869766165639,0.6888051126154666,primary
11,test_w36-39,23.5,0.8124539821,0.8134895280333333,0.7849499248333333,0.8152612501166667,0.7228920087999999,0.842263182,0.8169865289666667,0.8093434495166666,0.8161024879,0.8069473192833332,0.7274908895853001,0.051506531778971354,0.8147224549591071,0.7089032502370256,0.047778340861002605,0.7271579707774868,0.7223008974059983,0.05409183756510416,0.8297751107024403,0.750125964026847,0.6913367272622228,0.7518806947952211,0.6931411864142304,0.8564228467634416,0.8008100113049891,0.8410475264870586,0.8096600169214639,0.7541408324200074,0.6951512042456727,primary
11,test_w40-43,27.5,0.80316392075,0.8063213202999999,0.7706106860999999,0.80898384295,0.7098966419999999,0.83222545165,0.8086393236999999,0.7990729326166666,0.80849511515,0.7966684987999999,0.7236651422944984,0.05605532348632812,0.8672621188347516,0.7053635198689362,0.05157798075358073,0.7729049981651768,0.7193751184515962,0.058691027425130216,0.8799232012645877,0.7524348051824787,0.6960111010046522,0.7559042390995939,0.6992683609181295,0.8565765270972509,0.8016262270983385,0.8414211358708126,0.8112509158662106,0.7553626272859109,0.6988384176908042,primary
11,test_w44-47,31.5,0.7861907242,0.7903540449166666,0.7569823323,0.7919626864333332,0.7018262813833333,0.81419921545,0.7970746567333332,0.7843710432666666,0.7960639204,0.7828907371666667,0.6952698286766325,0.06693468709309895,1.0610901034235904,0.6780429841204921,0.0622665224202474,0.9360282778868372,0.6895323677783216,0.06898255757649739,1.0965919270663065,0.7578630308073644,0.6994292423605329,0.7610622135127982,0.7029566961244573,0.8506062271972534,0.7906618197919687,0.8362177146618026,0.8000182825182034,0.7609132214960694,0.703291208735275,primary
11,test_w48-51,35.333333333333336,0.7844257147,0.7928698480333333,0.7570941866666666,0.7938585239166667,0.7078341772,0.81153217155,0.8008408142666665,0.78431609075,0.7992998134,0.7843655711166666,0.6867015411026893,0.07722382080078125,1.1568014854265272,0.6719775709828952,0.06862875630696615,1.006003593899122,0.6776280687672616,0.07749929524739584,1.1977460382192118,0.7506566409591802,0.6865622025792133,0.7524303274531761,0.689122842637854,0.8447049099101636,0.7841085975045723,0.8301790869703756,0.7908519086121788,0.7517470001305023,0.6895604819324628,primary
24,test_w29-32,3.5,0.8736590937,0.8719231878833333,0.8591966979333333,0.8680670143499999,0.7603373885333333,0.9058487617,0.8786392519499999,0.8790189901999999,0.8808254884833333,0.8751321708166666,0.8862518835491072,0.005215920817057291,0.24526479288551697,0.8760191109923805,0.011775623575846354,0.25743274399334215,0.8869850000867533,0.0059325508626302086,0.24651295241465102,0.7398409640700541,0.7025393693080756,0.7379750264041663,0.7023527760983624,0.8891123948658026,0.834752414675193,0.868880686017981,0.8569823968105108,0.7443767551118563,0.7084373064981573,primary
24,test_w33-36,7.5,0.85733603665,0.8540467151,0.8393847750166665,0.8515577102666666,0.7484792136833334,0.88951862225,0.8581177287166666,0.8609786080166666,0.8615865617166667,0.8560908406,0.8470235356278788,0.018194970703124997,0.3503346449514167,0.8409382633577519,0.023837562255859375,0.3635008623494601,0.8502306430320231,0.017564263916015625,0.35127407100797586,0.7292581362483288,0.6960157504358031,0.7263293838148823,0.694805932607441,0.8770412660356766,0.8230364681521248,0.8575164550752677,0.8441998945457645,0.7339496871887364,0.7031336076912929,primary
24,test_w37-40,11.5,0.86298884045,0.8544731176166667,0.8329792850833333,0.85275647925,0.76760198675,0.8889360169,0.8517830520833332,0.8571671530333331,0.8594299631666665,0.8534996351333333,0.8272477173822266,0.02790322957356771,0.4265625614059433,0.8210921791322527,0.03389012390136718,0.4467473608459796,0.8322497333181772,0.026713586018880207,0.43249679834999843,0.7489658134882715,0.7127131759628353,0.7474064707480668,0.7118496693592802,0.871214599955458,0.8225991511670212,0.8510320953725992,0.8377988840836628,0.7551982115354815,0.7210589842720229,primary
24,test_w41-44,15.5,0.84745865435,0.84343944735,0.8200916603999999,0.8406890314999999,0.75340202005,0.87664804305,0.8446998180999999,0.8476396597999999,0.8518128644166667,0.8436373755666665,0.8167901844988964,0.03261406168619792,0.4928072614954047,0.8123666413345115,0.03738835632324219,0.49784885613676666,0.821041517507268,0.03143065714518229,0.49991152067948075,0.7493380329851558,0.7121803337374639,0.7480257542112994,0.7121675413801904,0.8743361245127865,0.8254071707530668,0.8559830797461856,0.843732112063683,0.7557236237238347,0.7205331733448299,primary
24,test_w45-48,19.5,0.82730202795,0.8228693976666667,0.7982859503333333,0.8211495970166667,0.7342245067833333,0.85769818825,0.8255772741666665,0.8242854573999998,0.8345995812666666,0.82098865625,0.7797716018858589,0.04736049153645833,0.6817449741286836,0.7829073386093264,0.04852263753255208,0.6600565682557633,0.7874697007790437,0.04643357686360677,0.6803351025155545,0.7546877598130803,0.7163764575800151,0.7531224993200492,0.7170271825287525,0.8686155747849658,0.8211602058952385,0.8498857036860588,0.8366071475261123,0.7593526037233852,0.7230175860500498,primary
24,test_w49-51,23.0,0.81647238425,0.8107225565333331,0.7890029168333332,0.8124815689333333,0.72895294465,0.84640862365,0.8155878744499999,0.8127680023666666,0.8254983081,0.8116853717333332,0.753250244444402,0.061638394978841146,0.833661067990644,0.7551437526823128,0.0612190049235026,0.8031565442276408,0.7628130969971741,0.06144480163574218,0.8398323473496659,0.7576639620625472,0.7210658712999157,0.7564736899337535,0.7218995492009361,0.8616964860085682,0.8139233911605117,0.8438909380845966,0.8292086902563838,0.7610972199095912,0.7261687639763448,primary
37,test_w42-45,3.5,0.87181626905,0.8688495540166666,0.8562948169666665,0.8687395931499999,0.7549245081333333,0.9081538895,0.8862847286166666,0.8826732119499999,0.8863208250499999,0.8800610908333333,0.9144234500164767,0.003778770345052083,0.2578484041825897,0.9072649291976306,0.007907949015299478,0.26560633574831843,0.915145498836304,0.0034011696370442705,0.24731332008739765,0.752838747184954,0.7186490999683748,0.7531870167795327,0.7203475758992423,0.8938109234967566,0.8458114560266577,0.8777015360414329,0.8698070567568097,0.7541554577011194,0.7215986040601297,primary
37,test_w46-49,7.5,0.8525760366,0.8474872698666666,0.8285715608833332,0.8471066909166667,0.7360799622166666,0.88725656985,0.8657054437333334,0.8567580880166665,0.8655639499666666,0.8575978559833333,0.8716075514125867,0.028870516357421876,0.4953903364275143,0.8646149616181553,0.027111378377278644,0.47671379176260803,0.8722148759697627,0.02963448059082031,0.4784616974667499,0.7562278463632415,0.7186259746006716,0.7590200429466178,0.7229944393682728,0.8841409869927769,0.8348960469326296,0.8668101585026158,0.8562851274677972,0.7592742512251893,0.7235171727555695,primary
37,test_w51-51,11.0,0.8280194906950595,0.8368120713722971,0.8161346302117993,0.8346347774539724,0.7220406229682492,0.8710286888180087,0.85667754820747,0.8424961534607647,0.8568763771923786,0.8460678236459456,0.8222913583129462,0.04918230936686197,0.7361330553510634,0.8131745787599047,0.04676134582519531,0.7204417901734057,0.8224705296909246,0.05007246704101562,0.7498332915570032,0.702231343458986,0.667585839863561,0.7073931509122157,0.6726544228672521,0.8972897248428584,0.843727214117921,0.8775483942272797,0.8704136315631695,0.7060610499976958,0.6725229884968162,primary
