label,condition,own,other,units,estimate,ci_low,ci_high,p_one_sided,n_boot,units_used,note
family swap: kdC toward Teacher C vs A,kdC,teacherC,teacherA,9,0.04323941788298963,0.04291757444329813,0.04291757444329813,0.5,1,9,the two teachers are different architectures
H1 replication: kdA4 toward A vs B,kdA4,teacherA,teacherB,18,0.007133553717419108,0.007686515779426627,0.007686515779426627,0.5,1,18,reproduces the confirmatory H1 statistic with this code
H1 replication: kdB4 toward B vs A,kdB4,teacherB,teacherA,18,0.025509022079638722,0.024888027319892658,0.024888027319892658,0.5,1,18,
single vs single: kdM0 toward member 0 vs Teacher B,kdM0,teacherA_0,teacherB,18,0.017133132029978973,0.018262138354080786,0.018262138354080786,0.5,1,18,"both teachers are single models, so the ensemble is no longer a confound"
identity only: kdM0 toward member 0 vs member 1,kdM0,teacherA_0,teacherA_1,18,0.022409776188332557,0.023389278230300934,0.023389278230300934,0.5,1,18,the two teachers differ only in random seed
identity only: kdM1 toward member 1 vs member 0,kdM1,teacherA_1,teacherA_0,18,0.01934077107151825,0.018995724281291787,0.018995724281291787,0.5,1,18,
anchor: hardA toward A vs B,hardA,teacherA,teacherB,18,-3.26208670861577e-05,0.00044095749457459223,0.00044095749457459223,0.5,1,18,"label copying only, no soft targets - an upper bound on what argmax agreement alone produces"
