[14:00:53] Run directory: C:\Users\Mahmoud\OneDrive\Desktop\Knowledge Distillation\results\track_a\20260916-140053_S_train11-14; device cuda; start week 11
[14:40:01] Loading cached arrays from C:\datasets\cache\tls-year22_S_121012501890
[14:40:03] Evaluation sets: val (253,779)
[14:40:04] Loaded teacherA_0 from results\pilot\20260916-122627_S_train11-14\models\teacher_0.pt
[14:40:04] Loaded teacherA_1 from results\pilot\20260916-122627_S_train11-14\models\teacher_1.pt
[14:40:04] Loaded teacherA_2 from results\pilot\20260916-122627_S_train11-14\models\teacher_2.pt
[14:40:05] Loaded teacherA_3 from results\pilot\20260916-122627_S_train11-14\models\teacher_3.pt
[14:40:05] Loaded teacherA_4 from results\pilot\20260916-122627_S_train11-14\models\teacher_4.pt
[15:34:31] student_kdB_s0 epoch 2/10: train_loss=4.873, seconds=16.8, val_loss=0.607, val_macro_f1=0.8215
[15:34:48] student_kdB_s0 epoch 3/10: train_loss=3.831, seconds=16.7, val_loss=0.5162, val_macro_f1=0.8489
[15:35:04] student_kdB_s0 epoch 4/10: train_loss=3.375, seconds=15.5, val_loss=0.4769, val_macro_f1=0.8628
[15:35:21] student_kdB_s0 epoch 5/10: train_loss=3.09, seconds=16, val_loss=0.451, val_macro_f1=0.8704
[15:35:36] student_kdB_s0 epoch 6/10: train_loss=2.89, seconds=15.4, val_loss=0.4288, val_macro_f1=0.8758
[15:35:52] student_kdB_s0 epoch 7/10: train_loss=2.739, seconds=15.3, val_loss=0.4214, val_macro_f1=0.8794
[15:36:08] student_kdB_s0 epoch 8/10: train_loss=2.627, seconds=14.9, val_loss=0.4034, val_macro_f1=0.8813
[15:36:23] student_kdB_s0 epoch 9/10: train_loss=2.555, seconds=14.6, val_loss=0.398, val_macro_f1=0.8834
[15:36:37] student_kdB_s0 epoch 10/10: train_loss=2.52, seconds=14.5, val_loss=0.3971, val_macro_f1=0.8832
[15:36:44] Training student_enddA_s0 (student, 101,190 parameters, seed 1000)
[15:37:02] student_enddA_s0 epoch 1/10: train_loss=1.398e+04, seconds=16.9, val_loss=0.5749, val_macro_f1=0.7739
[15:37:19] student_enddA_s0 epoch 2/10: train_loss=3309, seconds=17.2, val_loss=0.4289, val_macro_f1=0.8371
[15:37:36] student_enddA_s0 epoch 3/10: train_loss=2496, seconds=15.8, val_loss=0.3674, val_macro_f1=0.8588
[15:37:52] student_enddA_s0 epoch 4/10: train_loss=2123, seconds=15.7, val_loss=0.3494, val_macro_f1=0.8688
[15:38:09] student_enddA_s0 epoch 5/10: train_loss=1876, seconds=17, val_loss=0.3259, val_macro_f1=0.8762
[15:38:27] student_enddA_s0 epoch 6/10: train_loss=1696, seconds=17.8, val_loss=0.3074, val_macro_f1=0.8842
[15:38:46] student_enddA_s0 epoch 7/10: train_loss=1551, seconds=17.9, val_loss=0.297, val_macro_f1=0.8876
[15:39:06] student_enddA_s0 epoch 8/10: train_loss=1443, seconds=19.4, val_loss=0.2883, val_macro_f1=0.8922
[15:39:23] student_enddA_s0 epoch 9/10: train_loss=1371, seconds=17.2, val_loss=0.2825, val_macro_f1=0.8945
[15:39:40] student_enddA_s0 epoch 10/10: train_loss=1335, seconds=16.7, val_loss=0.2817, val_macro_f1=0.8943
[15:39:47] Training student_direct_s1 (student, 101,190 parameters, seed 1010)
[15:40:01] student_direct_s1 epoch 1/10: train_loss=1.529, seconds=13.2, val_loss=0.5629, val_macro_f1=0.7736
[15:40:14] student_direct_s1 epoch 2/10: train_loss=0.4673, seconds=12, val_loss=0.3936, val_macro_f1=0.8336
[15:40:27] student_direct_s1 epoch 3/10: train_loss=0.3722, seconds=12.3, val_loss=0.3473, val_macro_f1=0.8569
[15:40:39] student_direct_s1 epoch 4/10: train_loss=0.327, seconds=12, val_loss=0.3133, val_macro_f1=0.8702
[15:40:51] student_direct_s1 epoch 5/10: train_loss=0.2961, seconds=11.9, val_loss=0.2857, val_macro_f1=0.8832
[15:41:04] student_direct_s1 epoch 6/10: train_loss=0.2719, seconds=12.5, val_loss=0.27, val_macro_f1=0.8906
[15:41:17] student_direct_s1 epoch 7/10: train_loss=0.2525, seconds=11.9, val_loss=0.2536, val_macro_f1=0.8969
[15:41:29] student_direct_s1 epoch 8/10: train_loss=0.2378, seconds=12.2, val_loss=0.2458, val_macro_f1=0.8997
[15:41:42] student_direct_s1 epoch 9/10: train_loss=0.2273, seconds=12, val_loss=0.2409, val_macro_f1=0.9008
[15:41:54] student_direct_s1 epoch 10/10: train_loss=0.2217, seconds=12.1, val_loss=0.24, val_macro_f1=0.901
[15:42:04] Training student_ls_s1 (student, 101,190 parameters, seed 1010)
[15:42:20] student_ls_s1 epoch 1/10: train_loss=2.121, seconds=15.2, val_loss=0.6621, val_macro_f1=0.7572
[15:42:35] student_ls_s1 epoch 2/10: train_loss=1.285, seconds=14.4, val_loss=0.5274, val_macro_f1=0.8292
[15:42:49] student_ls_s1 epoch 3/10: train_loss=1.205, seconds=13.3, val_loss=0.4806, val_macro_f1=0.8524
[15:43:03] student_ls_s1 epoch 4/10: train_loss=1.166, seconds=13.2, val_loss=0.4526, val_macro_f1=0.861
[15:43:17] student_ls_s1 epoch 5/10: train_loss=1.14, seconds=14.1, val_loss=0.4304, val_macro_f1=0.8726
[15:43:32] student_ls_s1 epoch 6/10: train_loss=1.12, seconds=14.3, val_loss=0.4134, val_macro_f1=0.8797
[15:43:46] student_ls_s1 epoch 7/10: train_loss=1.104, seconds=13.6, val_loss=0.3953, val_macro_f1=0.8856
[15:44:03] student_ls_s1 epoch 8/10: train_loss=1.092, seconds=16.5, val_loss=0.385, val_macro_f1=0.8874
[15:44:17] student_ls_s1 epoch 9/10: train_loss=1.083, seconds=13.4, val_loss=0.3878, val_macro_f1=0.8887
[15:44:31] student_ls_s1 epoch 10/10: train_loss=1.079, seconds=13.6, val_loss=0.3854, val_macro_f1=0.888
[15:44:37] Training student_kdA_s1 (student, 101,190 parameters, seed 1010)
[15:44:56] student_kdA_s1 epoch 1/10: train_loss=14.38, seconds=17.9, val_loss=0.8039, val_macro_f1=0.7459
[15:45:13] student_kdA_s1 epoch 2/10: train_loss=3.879, seconds=16.4, val_loss=0.5666, val_macro_f1=0.8178
[15:45:29] student_kdA_s1 epoch 3/10: train_loss=3.021, seconds=15.7, val_loss=0.4746, val_macro_f1=0.8477
[15:45:45] student_kdA_s1 epoch 4/10: train_loss=2.656, seconds=15.7, val_loss=0.437, val_macro_f1=0.858
[15:46:00] student_kdA_s1 epoch 5/10: train_loss=2.432, seconds=14.6, val_loss=0.4058, val_macro_f1=0.8673
[15:46:15] student_kdA_s1 epoch 6/10: train_loss=2.274, seconds=14.7, val_loss=0.3801, val_macro_f1=0.8742
[15:46:30] student_kdA_s1 epoch 7/10: train_loss=2.157, seconds=14.2, val_loss=0.3747, val_macro_f1=0.8779
[15:46:45] student_kdA_s1 epoch 8/10: train_loss=2.069, seconds=14.5, val_loss=0.3618, val_macro_f1=0.8812
[15:47:00] student_kdA_s1 epoch 9/10: train_loss=2.014, seconds=15.1, val_loss=0.3581, val_macro_f1=0.8825
[15:47:16] student_kdA_s1 epoch 10/10: train_loss=1.985, seconds=14.7, val_loss=0.3573, val_macro_f1=0.8824
[15:47:22] Training student_kdB_s1 (student, 101,190 parameters, seed 1010)
[15:47:38] student_kdB_s1 epoch 1/10: train_loss=17.63, seconds=14.7, val_loss=0.9023, val_macro_f1=0.7459
[15:47:53] student_kdB_s1 epoch 2/10: train_loss=4.976, seconds=14.6, val_loss=0.6443, val_macro_f1=0.8183
[15:48:08] student_kdB_s1 epoch 3/10: train_loss=3.93, seconds=14.5, val_loss=0.5544, val_macro_f1=0.8485
[15:48:23] student_kdB_s1 epoch 4/10: train_loss=3.479, seconds=15.1, val_loss=0.4987, val_macro_f1=0.8591
[15:48:38] student_kdB_s1 epoch 5/10: train_loss=3.193, seconds=14.5, val_loss=0.4683, val_macro_f1=0.8679
[15:48:53] student_kdB_s1 epoch 6/10: train_loss=2.991, seconds=14.6, val_loss=0.446, val_macro_f1=0.8734
