system,backend,parameters,weights_mb,latency_ms_p50,latency_ms_p99,flows_per_s_1thread,flows_per_s_all_threads,peak_rss_mb
student,torch,101190.0,0.407224,0.5009000014979392,1.0256200096046086,10603.707156063274,39418.04492270527,2165.768192
student,onnx,101190.0,0.407224,0.0822000001790002,0.16010099672712386,21200.740367970866,,2239.168512
teacherA_member,torch,2261878.0,9.073208,3.560299999662675,5.347833004489075,811.9601411657096,3874.791266393815,2325.786624
teacherA_ensemble,torch,11309390.0,45.36604,19.092549991910346,27.356649993744213,161.36090526877973,789.3963411421059,2446.614528
teacherB_wide,torch,10321003.0,41.344916,12.261950003448874,17.212788996257583,218.14067898777205,1153.0411601338656,2588.766208
xgboost_flowstats,xgboost,,244.394516,41.60634999425383,53.01074799193884,1368.67271226211,11077.71928909036,5104.074752
