student,teacher,split,n_known,n_unknown,spearman_energy,spearman_energy_unknown,spearman_msp,spearman_msp_unknown,top1_agreement_known,error_jaccard_known,start,condition,seed,weeks_since
student_kdM0_s0,A,val,200000,53779,0.8730994810054672,0.7585715561763099,0.8704048294131683,0.5318494741813757,0.935595,0.29138987423411805,11,kdM0,0,1.0
student_kdM0_s0,B,val,200000,53779,0.791771058469247,0.6858740033802273,0.7981251669357889,0.42762794634884926,0.93331,0.27783811409953363,11,kdM0,0,1.0
student_kdM0_s0,A,test_w16-19,100000,100000,0.8870639408852532,0.7304366273674683,0.8403813680646345,0.46163182615658743,0.92945,0.3082152321696048,11,kdM0,0,3.5
student_kdM0_s0,B,test_w16-19,100000,100000,0.8347923225579891,0.6407443373822294,0.8174579208811713,0.4703413568203355,0.92665,0.28547047445670726,11,kdM0,0,3.5
student_kdM0_s0,A,test_w20-23,100000,100000,0.8838225707131384,0.7242289753880456,0.8295464106630113,0.46633584101969855,0.91376,0.3142132932782576,11,kdM0,0,7.5
student_kdM0_s0,B,test_w20-23,100000,100000,0.8330929086013522,0.6323469356350174,0.8061074523677128,0.45961455188283756,0.91196,0.2904913132822716,11,kdM0,0,7.5
student_kdM0_s0,A,test_w24-27,100000,100000,0.8803299694519485,0.7302223234087739,0.8231938099142373,0.4806876627447517,0.91184,0.3927765237020316,11,kdM0,0,11.5
student_kdM0_s0,B,test_w24-27,100000,100000,0.831639736753385,0.6420703131050927,0.7995787480196255,0.4765044234561113,0.90382,0.3502698215026982,11,kdM0,0,11.5
student_kdM0_s0,A,test_w28-31,100000,100000,0.8654396426330081,0.6944975212159983,0.801531809579668,0.4605556412048975,0.89597,0.44195953141640043,11,kdM0,0,15.5
student_kdM0_s0,B,test_w28-31,100000,100000,0.8143179696873831,0.6072223303991673,0.7758040213436478,0.44808412611879084,0.88472,0.40339028837711893,11,kdM0,0,15.5
student_kdM0_s0,A,test_w32-35,100000,100000,0.8482922185354852,0.6783044738488154,0.7826720103608811,0.45162585701604313,0.87565,0.502586105560127,11,kdM0,0,19.5
student_kdM0_s0,B,test_w32-35,100000,100000,0.7942723422396181,0.5906585953070679,0.7568268613557088,0.4410209552523904,0.86647,0.4768432334856434,11,kdM0,0,19.5
student_kdM0_s0,A,test_w36-39,100000,100000,0.84746385666273,0.673983634282465,0.7794123658327954,0.429968773633866,0.85642,0.5353742193099211,11,kdM0,0,23.5
student_kdM0_s0,B,test_w36-39,100000,100000,0.7927613395725162,0.5790367905784373,0.7542884372691888,0.42118152405243875,0.84633,0.5082047754741083,11,kdM0,0,23.5
student_kdM0_s0,A,test_w40-43,100000,100000,0.8478204997904067,0.6847195624833783,0.7767737871765045,0.44431518476178233,0.85618,0.5551282051282052,11,kdM0,0,27.5
student_kdM0_s0,B,test_w40-43,100000,100000,0.7942202051440171,0.5891501925394871,0.7536283352711081,0.4362435346897314,0.84324,0.5199925086618598,11,kdM0,0,27.5
student_kdM0_s0,A,test_w44-47,100000,100000,0.8456610779919086,0.6981867948092203,0.7587433082369163,0.4572713182107004,0.83742,0.5611365876655381,11,kdM0,0,31.5
student_kdM0_s0,B,test_w44-47,100000,100000,0.7856062690237171,0.5856021680881051,0.7363653794276821,0.4460970433189838,0.82525,0.5376299719425648,11,kdM0,0,31.5
student_kdM0_s0,A,test_w48-51,100000,100000,0.8371555516798261,0.6883071142566761,0.7567103626332907,0.4673458241899579,0.83332,0.5728690398432397,11,kdM0,0,35.333333333333336
student_kdM0_s0,B,test_w48-51,100000,100000,0.7755404612543316,0.5681556973029773,0.7326290458276993,0.45173270864814574,0.82143,0.553550984959141,11,kdM0,0,35.333333333333336
student_kdM1_s0,A,val,200000,53779,0.8681416553375254,0.7415594826143987,0.8778415933720042,0.5338098346415981,0.935225,0.28774892053876394,11,kdM1,0,1.0
student_kdM1_s0,B,val,200000,53779,0.7848472263943987,0.6698818167836655,0.8078247116179371,0.44355212966110447,0.932935,0.27342902711323763,11,kdM1,0,1.0
student_kdM1_s0,A,test_w16-19,100000,100000,0.8866180134353495,0.7413458133197909,0.8358556553106246,0.4418065470777541,0.92962,0.3148916551406178,11,kdM1,0,3.5
student_kdM1_s0,B,test_w16-19,100000,100000,0.8362280657952532,0.6614133306823335,0.8093502458412428,0.4315713348044486,0.92697,0.2929384965831435,11,kdM1,0,3.5
student_kdM1_s0,A,test_w20-23,100000,100000,0.8841452670993925,0.7345393951714587,0.8267951996656672,0.44084060107951006,0.91771,0.3346100962482813,11,kdM1,0,7.5
student_kdM1_s0,B,test_w20-23,100000,100000,0.8379833891765114,0.6555940165697199,0.8028220764993189,0.42909615384855276,0.91553,0.30956334863729607,11,kdM1,0,7.5
student_kdM1_s0,A,test_w24-27,100000,100000,0.879968074988636,0.7361452573717959,0.8202467045295514,0.45958009256227766,0.91493,0.39160524896638504,11,kdM1,0,11.5
student_kdM1_s0,B,test_w24-27,100000,100000,0.8337807249053206,0.6581486790056655,0.7955760032510739,0.4506448329858829,0.90682,0.35610050945514204,11,kdM1,0,11.5
student_kdM1_s0,A,test_w28-31,100000,100000,0.8705266224731445,0.7226926909741384,0.8061343803564145,0.46173903149451706,0.90392,0.4581494502206597,11,kdM1,0,15.5
student_kdM1_s0,B,test_w28-31,100000,100000,0.8228759420265572,0.6351941588620814,0.7795230127197508,0.4408045798505827,0.88908,0.41168151605147785,11,kdM1,0,15.5
student_kdM1_s0,A,test_w32-35,100000,100000,0.8564617765411425,0.7136501574029582,0.7852358618975596,0.4489295756358887,0.88163,0.49395124887150166,11,kdM1,0,19.5
student_kdM1_s0,B,test_w32-35,100000,100000,0.8061431440839126,0.6284573309151477,0.7608849132613033,0.43715026163450765,0.87006,0.47221900682949414,11,kdM1,0,19.5
student_kdM1_s0,A,test_w36-39,100000,100000,0.8581143132242947,0.7083292601407536,0.7790874433345578,0.4195011252809162,0.86467,0.5206072621035058,11,kdM1,0,23.5
student_kdM1_s0,B,test_w36-39,100000,100000,0.8055013650388682,0.6172608480621731,0.755790291094619,0.40986525721747874,0.85122,0.4927992799279928,11,kdM1,0,23.5
student_kdM1_s0,A,test_w40-43,100000,100000,0.8567828833744016,0.7091349978623017,0.7774304241587405,0.42625345228564615,0.86477,0.540263171264543,11,kdM1,0,27.5
student_kdM1_s0,B,test_w40-43,100000,100000,0.8045002781893082,0.6175970147936033,0.7539987874009247,0.4155819856449888,0.84683,0.49868086535232886,11,kdM1,0,27.5
student_kdM1_s0,A,test_w44-47,100000,100000,0.8509614646497785,0.7143275973398567,0.7555738071820725,0.4264865908589695,0.84585,0.5620489350466468,11,kdM1,0,31.5
student_kdM1_s0,B,test_w44-47,100000,100000,0.7926281616829327,0.6101003904738143,0.7304802195838039,0.40784575042208526,0.82959,0.5380968506603454,11,kdM1,0,31.5
student_kdM1_s0,A,test_w48-51,100000,100000,0.8429040074179067,0.7017224861826176,0.7547044913818016,0.4307256521362232,0.83978,0.5783530592614278,11,kdM1,0,35.333333333333336
student_kdM1_s0,B,test_w48-51,100000,100000,0.7862436293622864,0.6013591936610448,0.7304570855372565,0.4171421783430839,0.82428,0.557826701676429,11,kdM1,0,35.333333333333336
student_hardA_s0,A,val,200000,53779,0.5074486885650336,0.6930125556110044,0.7470326053660531,0.5179995600495324,0.95241,0.365695533856251,11,hardA,0,1.0
student_hardA_s0,B,val,200000,53779,0.4533731690788078,0.6081281224386641,0.6642395301036629,0.4243202288396044,0.949525,0.34273558146864164,11,hardA,0,1.0
student_hardA_s0,A,test_w16-19,100000,100000,0.759847151508427,0.7231660013018006,0.8071371839557243,0.4826649418407686,0.94649,0.38467943380516234,11,hardA,0,3.5
student_hardA_s0,B,test_w16-19,100000,100000,0.7105917554694788,0.6282922296283295,0.762990414460711,0.440192980777513,0.94321,0.35527933342439555,11,hardA,0,3.5
student_hardA_s0,A,test_w20-23,100000,100000,0.7612634607488195,0.7241506251974004,0.803962095814351,0.4790346490574925,0.93535,0.3935334872979215,11,hardA,0,7.5
