model,split,flows,unknown,temperature,n_known,n_unknown,accuracy,macro_f1,auroc_msp,fpr95_msp,oscr_msp,auroc_energy,fpr95_energy,oscr_energy,ece,nll,brier,aurc,ece_ts,nll_ts
teacher_0,val,all,all,0.6610964588692797,4000,4000,0.62025,0.3754140797217801,0.7440298125000001,0.86275,0.543070375,0.71913590625,0.84775,0.5202069374999999,0.21506803710013633,1.874988317489624,0.5574845596145378,0.13965897240813951,0.021861345148645333,1.6667343378067017
teacher_0,val,all,near,0.6610964588692797,4000,761,0.62025,0.3754140797217801,0.6330193823915901,0.9145860709592641,0.4933869908015769,0.5933226018396847,0.911957950065703,0.45238600525624184,0.21506803710013633,1.874988317489624,0.5574845596145378,0.13965897240813951,0.021861345148645333,1.6667343378067017
teacher_0,val,all,far,0.6610964588692797,4000,3239,0.62025,0.3754140797217801,0.7701116085211485,0.8505711639394875,0.5547434393331275,0.7486956236492746,0.832664402593393,0.5361414016671813,0.21506803710013633,1.874988317489624,0.5574845596145378,0.13965897240813951,0.021861345148645333,1.6667343378067017
teacher_0,val,ge5,all,0.6610964588692797,3823,3906,0.6327491498822914,0.3787104959547405,0.7477474509192548,0.8635432667690732,0.5551381477271464,0.7246897366694351,0.8476702508960573,0.5324840125368338,0.2209852396839659,1.8220045566558838,0.5459378077564643,0.131467991018995,0.02127370941558652,1.6007609367370605
teacher_0,val,ge5,near,0.6610964588692797,3823,729,0.6327491498822914,0.3787104959547405,0.6403190278176957,0.9122085048010974,0.5053307053868955,0.6007537943578091,0.9080932784636488,0.4634066352418238,0.2209852396839659,1.8220045566558838,0.5459378077564643,0.131467991018995,0.02127370941558652,1.6007609367370605
teacher_0,val,ge5,far,0.6610964588692797,3823,3177,0.6327491498822914,0.3787104959547405,0.7723981655686212,0.8523764557758892,0.566567050927034,0.7531282956701197,0.833805476864967,0.5483346288566519,0.2209852396839659,1.8220045566558838,0.5459378077564643,0.131467991018995,0.02127370941558652,1.6007609367370605
teacher_1,val,all,all,0.6963649948893597,4000,4000,0.60375,0.37289185964211025,0.7521241562500001,0.89025,0.5317965625,0.7222477812500001,0.88625,0.5077335000000001,0.2007868581525981,1.9089608192443848,0.5760275661153812,0.16248011908315976,0.021186073591001334,1.7344757318496704
teacher_1,val,all,near,0.6963649948893597,4000,761,0.60375,0.37289185964211025,0.6999052233902759,0.9145860709592641,0.507872864651774,0.656371714848883,0.9159001314060446,0.47218692509855453,0.2007868581525981,1.9089608192443848,0.5760275661153812,0.16248011908315976,0.021186073591001334,1.7344757318496704
teacher_1,val,all,far,0.6963649948893597,4000,3239,0.60375,0.37289185964211025,0.7643929453535043,0.8845322630441494,0.5374174127817227,0.737725301018833,0.8792837295461562,0.51608513430071,0.2007868581525981,1.9089608192443848,0.5760275661153812,0.16248011908315976,0.021186073591001334,1.7344757318496704
teacher_1,val,ge5,all,0.6963649948893597,3823,3906,0.6157467957101752,0.37290784771267715,0.7548596905650563,0.8914490527393754,0.5432920827518888,0.7263838110854894,0.8865847414234511,0.5189403908405199,0.20848167975504547,1.856431245803833,0.5646023168155095,0.15312476146206236,0.01956037114579704,1.667417049407959
teacher_1,val,ge5,near,0.6963649948893597,3823,729,0.6157467957101752,0.37290784771267715,0.7043712752967652,0.9190672153635117,0.5195217596763794,0.6605530313060758,0.9149519890260631,0.48229383412146604,0.20848167975504547,1.856431245803833,0.5646023168155095,0.15312476146206236,0.01956037114579704,1.667417049407959
teacher_1,val,ge5,far,0.6963649948893597,3823,3177,0.6157467957101752,0.37290784771267715,0.7664448510090549,0.88511174063582,0.5487464628343712,0.7414894574371396,0.8800755429650614,0.5273493741103311,0.20848167975504547,1.856431245803833,0.5646023168155095,0.15312476146206236,0.01956037114579704,1.667417049407959
student_direct,val,all,all,0.6951443764814151,4000,4000,0.27825,0.050415532680860305,0.53477590625,0.95225,0.2137420625,0.52970209375,0.96,0.2069151875,0.1558827944099903,3.3432271480560303,0.8911118928040853,0.5040216200001791,0.06509253147244454,3.2374510765075684
student_direct,val,all,near,0.6951443764814151,4000,761,0.27825,0.050415532680860305,0.48353925755584753,0.9093298291721419,0.19732752956636007,0.4736049605781866,0.9080157687253614,0.18825459921156373,0.1558827944099903,3.3432271480560303,0.8911118928040853,0.5040216200001791,0.06509253147244454,3.2374510765075684
student_direct,val,all,far,0.6951443764814151,4000,3239,0.27825,0.050415532680860305,0.5468139086137698,0.962334053720284,0.2175986415560358,0.5428820623649274,0.9722136461870948,0.2112994751466502,0.1558827944099903,3.3432271480560303,0.8911118928040853,0.5040216200001791,0.06509253147244454,3.2374510765075684
student_direct,val,ge5,all,0.6951443764814151,3823,3906,0.28616269945069317,0.051341163312912566,0.5460916885549626,0.946236559139785,0.22188196084308748,0.5423147939433073,0.9551971326164874,0.2147937959789824,0.1599619277903243,3.308917999267578,0.8871904202511088,0.4940808661849816,0.06604467054257492,3.2022640705108643
student_direct,val,ge5,near,0.6951443764814151,3823,729,0.28616269945069317,0.051341163312912566,0.48336363509148117,0.9108367626886146,0.20284990816181175,0.47234089962313874,0.8984910836762688,0.19309808835196113,0.1599619277903243,3.308917999267578,0.8871904202511088,0.4940808661849816,0.06604467054257492,3.2022640705108643
student_direct,val,ge5,far,0.6951443764814151,3823,3177,0.28616269945069317,0.051341163312912566,0.5604853778766113,0.9543594586087504,0.22624908907873428,0.5583711266343374,0.9682090022033365,0.21977213115685418,0.1599619277903243,3.308917999267578,0.8871904202511088,0.4940808661849816,0.06604467054257492,3.2022640705108643
teacherA_ensemble,val,all,all,0.6501461846952824,4000,4000,0.626,0.38138856768216267,0.7584464375,0.8795,0.5571236875000001,0.728003,0.86325,0.53164425,0.22832126970030364,1.8465338945388794,0.5577162102701315,0.13583367857045658,0.01308477065525948,1.612479329109192
teacherA_ensemble,val,all,near,0.6501461846952824,4000,761,0.626,0.38138856768216267,0.6730528909329829,0.9106438896189225,0.517562417871222,0.6296693495400789,0.923784494086728,0.47697930354796325,0.22832126970030364,1.8465338945388794,0.5577162102701315,0.13583367857045658,0.01308477065525948,1.612479329109192
teacherA_ensemble,val,all,far,0.6501461846952824,4000,3239,0.626,0.38138856768216267,0.7785095708552021,0.872182772460636,0.5664185705464649,0.7511063985798085,0.8490274776165483,0.5444877276937327,0.22832126970030364,1.8465338945388794,0.5577162102701315,0.13583367857045658,0.01308477065525948,1.612479329109192
teacherA_ensemble,val,ge5,all,0.6501461846952824,3823,3906,0.6382422181532827,0.38301698734761885,0.7612591961313198,0.883768561187916,0.5689060432590678,0.7329820424227789,0.8640552995391705,0.5433496077518253,0.23510857445136465,1.7940083742141724,0.5461071289677741,0.12737403102209618,0.017328285830684468,1.5443402528762817
teacherA_ensemble,val,ge5,near,0.6501461846952824,3823,729,0.6382422181532827,0.38301698734761885,0.6779262187173368,0.9163237311385459,0.5288674031662377,0.6356772433975717,0.9218106995884774,0.4875238924608723,0.23510857445136465,1.7940083742141724,0.5461071289677741,0.12737403102209618,0.017328285830684468,1.5443402528762817
teacherA_ensemble,val,ge5,far,0.6501461846952824,3823,3177,0.6382422181532827,0.38301698734761885,0.780380927492602,0.8762983947119924,0.5780933799375926,0.7553097725107158,0.8508026440037771,0.5561594744333186,0.23510857445136465,1.7940083742141724,0.5461071289677741,0.12737403102209618,0.017328285830684468,1.5443402528762817
