student,teacher,split,n_known,n_unknown,spearman_energy,spearman_energy_unknown,spearman_msp,spearman_msp_unknown,top1_agreement_known,error_jaccard_known,start,condition,seed,weeks_since
student_kdA4_s0,A,val,200000,37194,0.895843446025945,0.6481751447017277,0.8882778282198491,0.37690877639926074,0.94898,0.2946337641989816,24,kdA4,0,1.0
student_kdA4_s0,B,val,200000,37194,0.8143568909891234,0.5260347223145676,0.8280491919410101,0.33430395451038597,0.94672,0.27909839218401417,24,kdA4,0,1.0
student_kdB4_s0,A,val,200000,37194,0.8688426370710766,0.6298733208953616,0.8551366281213774,0.3679013340968895,0.95059,0.30005640157924424,24,kdB4,0,1.0
student_kdB4_s0,B,val,200000,37194,0.8858929472265671,0.5628306673133716,0.8742437669447555,0.33821004776415503,0.94874,0.289185326345879,24,kdB4,0,1.0
student_kdA4_s1,A,val,200000,37194,0.90085399775862,0.6756972810693234,0.890742574375642,0.3812633284171478,0.94959,0.2921046392159962,24,kdA4,1,1.0
student_kdA4_s1,B,val,200000,37194,0.8211914985300695,0.5647043594281896,0.8313938336050521,0.3212359924673938,0.947935,0.28285112688138503,24,kdA4,1,1.0
student_kdB4_s1,A,val,200000,37194,0.8611267431521679,0.6413172228007159,0.8543312610604173,0.41362282920537274,0.948845,0.287411487018096,24,kdB4,1,1.0
student_kdB4_s1,B,val,200000,37194,0.8794273134293058,0.5615713703464652,0.8682108612023102,0.3432022874297563,0.94699,0.2762790697674419,24,kdB4,1,1.0
student_kdA4_s2,A,val,200000,37194,0.8981149466383929,0.6509589779903319,0.8908063675322855,0.4160177041952304,0.94791,0.2820911778434729,24,kdA4,2,1.0
student_kdA4_s2,B,val,200000,37194,0.8209808817118813,0.5436485140408783,0.8304754789197623,0.32167814463128896,0.946175,0.27184168136841297,24,kdA4,2,1.0
student_kdB4_s2,A,val,200000,37194,0.8623908575244852,0.6347262378056564,0.854051774211828,0.3981273554372189,0.947305,0.2782629034773117,24,kdB4,2,1.0
student_kdB4_s2,B,val,200000,37194,0.8800061393870007,0.5586816184052616,0.8687377065820117,0.3367787493901337,0.945555,0.26794773251345116,24,kdB4,2,1.0
