student,teacher,split,n_known,n_unknown,spearman_energy,spearman_energy_unknown,spearman_msp,spearman_msp_unknown,top1_agreement_known,error_jaccard_known,start,condition,seed,weeks_since
student_kdM0_s0,A,val,200000,37194,0.8775276815619624,0.6804966046907058,0.8773316850993432,0.40651959190704395,0.94776,0.2830583313967,24,kdM0,0,1.0
student_kdM0_s0,B,val,200000,37194,0.800826838761668,0.5794450233078126,0.8167490942174539,0.3340540255383804,0.945695,0.26992836457857033,24,kdM0,0,1.0
student_kdM0_s0,A,test_w29-32,100000,100000,0.8761245852962977,0.7059281229808491,0.8383463957895269,0.46127270050340274,0.93566,0.34845951755433485,24,kdM0,0,3.5
student_kdM0_s0,B,test_w29-32,100000,100000,0.8270012640547634,0.6198315688089614,0.8136110099304155,0.43927438869703733,0.93088,0.3292004634994206,24,kdM0,0,3.5
student_kdM0_s0,A,test_w33-36,100000,100000,0.8648384454599019,0.6986222295158607,0.824245167697713,0.45945702194172094,0.91604,0.4442715088629485,24,kdM0,0,7.5
student_kdM0_s0,B,test_w33-36,100000,100000,0.8174459849267595,0.6171980204785938,0.7997018230531117,0.43634241562770504,0.90843,0.4334156939592741,24,kdM0,0,7.5
student_kdM0_s0,A,test_w37-40,100000,100000,0.8604616244784667,0.6723559582106633,0.8138857843993443,0.4326937309122304,0.90397,0.497453434225844,24,kdM0,0,11.5
student_kdM0_s0,B,test_w37-40,100000,100000,0.8172654453045303,0.591470703230033,0.7893599978546347,0.39948035451925284,0.89027,0.4827512473271561,24,kdM0,0,11.5
student_kdM0_s0,A,test_w41-44,100000,100000,0.8632894429201148,0.7003584118034474,0.8179733560739275,0.4699087874715841,0.89934,0.5155193819837219,24,kdM0,0,15.5
student_kdM0_s0,B,test_w41-44,100000,100000,0.8182068297758716,0.6154924423049736,0.7918242187016913,0.4295517484593793,0.88918,0.5114571292581763,24,kdM0,0,15.5
student_kdM0_s0,A,test_w45-48,100000,100000,0.8566726335255598,0.7078860063769974,0.7991344749849106,0.47683351868250323,0.87434,0.5338287488908607,24,kdM0,0,19.5
student_kdM0_s0,B,test_w45-48,100000,100000,0.8128360866591732,0.6301659511637043,0.7720409403197298,0.4292840083944183,0.86092,0.5243081931633207,24,kdM0,0,19.5
student_kdM0_s0,A,test_w49-51,100000,100000,0.8471793124828778,0.6928896926831435,0.7885620698754512,0.462694019580155,0.85638,0.5686439420175134,24,kdM0,0,23.0
student_kdM0_s0,B,test_w49-51,100000,100000,0.8046618704912353,0.6209090473446921,0.7611283600137785,0.41937095524698,0.84492,0.5534116736786111,24,kdM0,0,23.0
student_kdM1_s0,A,val,200000,37194,0.8786894919283041,0.6675275483174123,0.8776014427888923,0.3720956074278684,0.949115,0.2912170145726664,24,kdM1,0,1.0
student_kdM1_s0,B,val,200000,37194,0.799454458440479,0.5691584217431773,0.8198081198163106,0.34560672058807124,0.947065,0.27783373363291236,24,kdM1,0,1.0
student_kdM1_s0,A,test_w29-32,100000,100000,0.8826105787159547,0.7269800133810648,0.8381600342353497,0.45357502335406663,0.93454,0.3437722419928826,24,kdM1,0,3.5
student_kdM1_s0,B,test_w29-32,100000,100000,0.8273841654564347,0.628888800476537,0.8107562467723405,0.4214181760637198,0.93106,0.3310584152689416,24,kdM1,0,3.5
student_kdM1_s0,A,test_w33-36,100000,100000,0.869480685149694,0.7129558133706931,0.8233930438330279,0.44626194803070013,0.91337,0.4148685245042369,24,kdM1,0,7.5
student_kdM1_s0,B,test_w33-36,100000,100000,0.8138258004809338,0.6156328409421448,0.7942485422922019,0.4073137611681075,0.90992,0.4048213517003874,24,kdM1,0,7.5
student_kdM1_s0,A,test_w37-40,100000,100000,0.8658246943824383,0.679278009386971,0.8150792345320347,0.4151240378196196,0.89856,0.449603291213635,24,kdM1,0,11.5
student_kdM1_s0,B,test_w37-40,100000,100000,0.8144516733488102,0.5859919717865116,0.7861477941360633,0.37239346969597714,0.89207,0.435126582278481,24,kdM1,0,11.5
student_kdM1_s0,A,test_w41-44,100000,100000,0.8688147218427668,0.710286092354108,0.8198442082016498,0.4563114876176313,0.89736,0.48993006993006993,24,kdM1,0,15.5
student_kdM1_s0,B,test_w41-44,100000,100000,0.8169286642706303,0.6175188720165541,0.7899338190190094,0.41022633146976945,0.89169,0.48046687263989013,24,kdM1,0,15.5
student_kdM1_s0,A,test_w45-48,100000,100000,0.864269423390508,0.7199710983305814,0.7989956832808037,0.4537017965149786,0.87172,0.5173934893070523,24,kdM1,0,19.5
student_kdM1_s0,B,test_w45-48,100000,100000,0.8139826919957833,0.6330924619414923,0.7709286998605711,0.40759202632868263,0.86262,0.5048781817190822,24,kdM1,0,19.5
student_kdM1_s0,A,test_w49-51,100000,100000,0.8570854080030544,0.7105686722622473,0.7884983148946116,0.44067793978781655,0.85914,0.5787140793864236,24,kdM1,0,23.0
student_kdM1_s0,B,test_w49-51,100000,100000,0.8066728959057918,0.6260679452203562,0.759658623362639,0.3993527958239413,0.84676,0.5598892558772101,24,kdM1,0,23.0
student_hardA_s0,A,val,200000,37194,0.4339112783081356,0.5728779850486732,0.7091318363356546,0.3967525534548353,0.966135,0.40700082850041425,24,hardA,0,1.0
student_hardA_s0,B,val,200000,37194,0.40321748385510464,0.46245416269165823,0.619275210042146,0.2964735214020482,0.963475,0.37779343668210186,24,hardA,0,1.0
student_hardA_s0,A,test_w29-32,100000,100000,0.7347140524480876,0.6644873748311753,0.8063382989819127,0.48458569105250615,0.95484,0.468230836490819,24,hardA,0,3.5
student_hardA_s0,B,test_w29-32,100000,100000,0.699206634776423,0.5791949794369036,0.764093463968324,0.43182628882406066,0.94933,0.43573228787454493,24,hardA,0,3.5
student_hardA_s0,A,test_w33-36,100000,100000,0.7279476935317686,0.6431357579806674,0.8025868304210434,0.4813096994218189,0.93941,0.5574232511323604,24,hardA,0,7.5
student_hardA_s0,B,test_w33-36,100000,100000,0.6966554131623764,0.5736467949196646,0.7608216066933234,0.4235554575330065,0.92986,0.5355982274741506,24,hardA,0,7.5
student_hardA_s0,A,test_w37-40,100000,100000,0.7528882054766779,0.6420232831630425,0.8012954555115676,0.46619372260753233,0.92648,0.5846403900853312,24,hardA,0,11.5
student_hardA_s0,B,test_w37-40,100000,100000,0.7172434768588046,0.561471776771592,0.764434367220729,0.4176891492159806,0.91076,0.5566343042071198,24,hardA,0,11.5
student_hardA_s0,A,test_w41-44,100000,100000,0.7544082844022648,0.6655892241096062,0.8053610281553321,0.5024126083083388,0.92214,0.5998605515959096,24,hardA,0,15.5
student_hardA_s0,B,test_w41-44,100000,100000,0.718091546978849,0.5863100832838856,0.7668895384260382,0.44854113026265274,0.91026,0.5838194076206348,24,hardA,0,15.5
student_hardA_s0,A,test_w45-48,100000,100000,0.7590599286071144,0.6747614748572088,0.7865169102710442,0.49937092763612856,0.89684,0.6067076848835806,24,hardA,0,19.5
student_hardA_s0,B,test_w45-48,100000,100000,0.7210722520919843,0.598266300541719,0.7443247746568915,0.4349232007560353,0.88076,0.5839330641858288,24,hardA,0,19.5
student_hardA_s0,A,test_w49-51,100000,100000,0.7613341946715112,0.6650421355134983,0.7810429904185694,0.49654543307021864,0.87889,0.6287682119205298,24,hardA,0,23.0
student_hardA_s0,B,test_w49-51,100000,100000,0.7234240282517412,0.5865648588204436,0.7328721838817172,0.41564771300803954,0.86571,0.6053892524086764,24,hardA,0,23.0
student_kdM0_s1,A,val,200000,37194,0.8780810167460552,0.6494676260320715,0.8766343043567354,0.3900880806870856,0.949425,0.29396511079679394,24,kdM0,1,1.0
student_kdM0_s1,B,val,200000,37194,0.7985987094370512,0.5554456104032253,0.8178473415361087,0.32804109179407887,0.94724,0.2795798578931109,24,kdM0,1,1.0
student_kdM0_s1,A,test_w29-32,100000,100000,0.8776501094212181,0.7184908656515689,0.8387729220902931,0.4597549361337116,0.93768,0.35926280516993775,24,kdM0,1,3.5
student_kdM0_s1,B,test_w29-32,100000,100000,0.825486965154107,0.6252948731002823,0.8108564214866578,0.41724994810842847,0.93363,0.34260444547887814,24,kdM0,1,3.5
student_kdM0_s1,A,test_w33-36,100000,100000,0.867922186766657,0.7092745595800233,0.8257917694967308,0.4558144610823851,0.91629,0.4183235525970045,24,kdM0,1,7.5
