[23:41:57] KD settings: T=4, alpha=0.9; student epochs 20, teacher epochs 10
[00:03:46] both_direct_rho0_s0 epoch 18/20: train_loss=0.1879, seconds=10.2, val_loss=0.2133, val_macro_f1=0.9117
[00:03:57] both_direct_rho0_s0 epoch 19/20: train_loss=0.1853, seconds=10.2, val_loss=0.212, val_macro_f1=0.9127
[00:04:07] both_direct_rho0_s0 epoch 20/20: train_loss=0.1843, seconds=10.2, val_loss=0.2121, val_macro_f1=0.9127
[00:04:19] both_kd_rho0_s0 epoch 1/20: train_loss=18.45, seconds=11.3, val_loss=1.018, val_macro_f1=0.681
[00:04:30] both_kd_rho0_s0 epoch 2/20: train_loss=5.122, seconds=10.7, val_loss=0.6174, val_macro_f1=0.8027
[00:04:41] both_kd_rho0_s0 epoch 3/20: train_loss=3.66, seconds=10.6, val_loss=0.5081, val_macro_f1=0.8349
[00:04:52] both_kd_rho0_s0 epoch 4/20: train_loss=3.169, seconds=10.8, val_loss=0.4525, val_macro_f1=0.8537
[00:05:03] both_kd_rho0_s0 epoch 5/20: train_loss=2.911, seconds=10.7, val_loss=0.4238, val_macro_f1=0.8629
[00:05:15] both_kd_rho0_s0 epoch 6/20: train_loss=2.735, seconds=10.6, val_loss=0.4006, val_macro_f1=0.8687
[00:05:26] both_kd_rho0_s0 epoch 7/20: train_loss=2.603, seconds=10.6, val_loss=0.3965, val_macro_f1=0.872
[00:05:38] both_kd_rho0_s0 epoch 8/20: train_loss=2.496, seconds=11.6, val_loss=0.3755, val_macro_f1=0.8769
[00:05:51] both_kd_rho0_s0 epoch 9/20: train_loss=2.418, seconds=12.8, val_loss=0.3633, val_macro_f1=0.8813
[00:06:04] both_kd_rho0_s0 epoch 10/20: train_loss=2.341, seconds=12.6, val_loss=0.3589, val_macro_f1=0.8836
[00:06:18] both_kd_rho0_s0 epoch 11/20: train_loss=2.283, seconds=13.6, val_loss=0.3538, val_macro_f1=0.886
[00:06:31] both_kd_rho0_s0 epoch 12/20: train_loss=2.228, seconds=12.8, val_loss=0.3428, val_macro_f1=0.8871
[00:06:45] both_kd_rho0_s0 epoch 13/20: train_loss=2.182, seconds=13.3, val_loss=0.3384, val_macro_f1=0.8886
[00:06:58] both_kd_rho0_s0 epoch 14/20: train_loss=2.141, seconds=13.4, val_loss=0.3343, val_macro_f1=0.8892
[00:07:13] both_kd_rho0_s0 epoch 15/20: train_loss=2.107, seconds=14.7, val_loss=0.3291, val_macro_f1=0.8909
[00:07:26] both_kd_rho0_s0 epoch 16/20: train_loss=2.078, seconds=12.1, val_loss=0.3237, val_macro_f1=0.8917
[00:07:38] both_kd_rho0_s0 epoch 17/20: train_loss=2.054, seconds=11.6, val_loss=0.324, val_macro_f1=0.8924
[00:07:50] both_kd_rho0_s0 epoch 18/20: train_loss=2.036, seconds=11.5, val_loss=0.3207, val_macro_f1=0.8923
[00:08:02] both_kd_rho0_s0 epoch 19/20: train_loss=2.024, seconds=11.6, val_loss=0.3212, val_macro_f1=0.8929
[00:08:13] both_kd_rho0_s0 epoch 20/20: train_loss=2.019, seconds=11, val_loss=0.3212, val_macro_f1=0.8925
[00:08:25] teacheronly_kd_rho0_s0 epoch 1/20: train_loss=18.43, seconds=10.9, val_loss=0.9815, val_macro_f1=0.6861
[00:08:36] teacheronly_kd_rho0_s0 epoch 2/20: train_loss=5.191, seconds=10.8, val_loss=0.6388, val_macro_f1=0.7987
[00:08:47] teacheronly_kd_rho0_s0 epoch 3/20: train_loss=3.713, seconds=10.8, val_loss=0.5166, val_macro_f1=0.8325
[00:08:58] teacheronly_kd_rho0_s0 epoch 4/20: train_loss=3.204, seconds=10.7, val_loss=0.4789, val_macro_f1=0.8517
[00:09:09] teacheronly_kd_rho0_s0 epoch 5/20: train_loss=2.935, seconds=10.7, val_loss=0.4303, val_macro_f1=0.862
[00:09:20] teacheronly_kd_rho0_s0 epoch 6/20: train_loss=2.754, seconds=10.8, val_loss=0.4013, val_macro_f1=0.8691
[00:09:32] teacheronly_kd_rho0_s0 epoch 7/20: train_loss=2.621, seconds=10.8, val_loss=0.3947, val_macro_f1=0.869
[00:09:43] teacheronly_kd_rho0_s0 epoch 8/20: train_loss=2.514, seconds=10.9, val_loss=0.3783, val_macro_f1=0.8737
[00:09:54] teacheronly_kd_rho0_s0 epoch 9/20: train_loss=2.428, seconds=10.8, val_loss=0.3651, val_macro_f1=0.8785
[00:10:05] teacheronly_kd_rho0_s0 epoch 10/20: train_loss=2.353, seconds=10.7, val_loss=0.3552, val_macro_f1=0.8825
[00:10:17] teacheronly_kd_rho0_s0 epoch 11/20: train_loss=2.292, seconds=11.1, val_loss=0.3449, val_macro_f1=0.8841
[00:10:28] teacheronly_kd_rho0_s0 epoch 12/20: train_loss=2.237, seconds=10.9, val_loss=0.3381, val_macro_f1=0.8881
[00:10:39] teacheronly_kd_rho0_s0 epoch 13/20: train_loss=2.189, seconds=10.8, val_loss=0.3358, val_macro_f1=0.8902
[00:10:50] teacheronly_kd_rho0_s0 epoch 14/20: train_loss=2.147, seconds=10.9, val_loss=0.3322, val_macro_f1=0.8898
[00:11:02] teacheronly_kd_rho0_s0 epoch 15/20: train_loss=2.112, seconds=10.8, val_loss=0.3308, val_macro_f1=0.89
[00:11:13] teacheronly_kd_rho0_s0 epoch 16/20: train_loss=2.082, seconds=10.9, val_loss=0.3242, val_macro_f1=0.8916
[00:11:24] teacheronly_kd_rho0_s0 epoch 17/20: train_loss=2.06, seconds=10.9, val_loss=0.3223, val_macro_f1=0.8911
