model,split,flows,unknown,temperature,n_known,n_unknown,accuracy,macro_f1,auroc_msp,fpr95_msp,oscr_msp,auroc_energy,fpr95_energy,oscr_energy,ece,nll,brier,aurc,ece_ts,nll_ts,rho,seed,setting
student_plain_direct,val,all,all,1.071826913834899,200000,53779,0.941405,0.9142083842163539,0.8673485654716525,0.7081388646125811,0.8488269140370777,0.8301854872254969,0.7322560850889752,0.8071618168801948,0.0033866307865455946,0.21065688133239746,0.08339449438924376,0.003979194508908231,0.00648112201513725,0.20996294915676117,,0,teacher_only
student_plain_direct,val,all,near,1.071826913834899,200000,10959,0.941405,0.9142083842163539,0.8379226875171092,0.6908477050825805,0.8188457911305778,0.7497219217081851,0.7499771876996076,0.7300673099735377,0.0033866307865455946,0.21065688133239746,0.08339449438924376,0.003979194508908231,0.00648112201513725,0.20996294915676117,,0,teacher_only
student_plain_direct,val,all,far,1.071826913834899,200000,42820,0.941405,0.9142083842163539,0.8748795836057918,0.7125642223260159,0.8565000370154134,0.8507786729915927,0.7277206912657637,0.8268927533862682,0.0033866307865455946,0.21065688133239746,0.08339449438924376,0.003979194508908231,0.00648112201513725,0.20996294915676117,,0,teacher_only
student_plain_direct,val,ge5,all,1.071826913834899,191366,52270,0.9506181871387812,0.9253422474784831,0.8800352168285686,0.6652381863401569,0.8638400907406125,0.846419913266985,0.6744404055863784,0.8255637774838496,0.002507475755258662,0.17460176348686218,0.07109154070050237,0.00301889686101245,0.005453421879291639,0.1740279495716095,,0,teacher_only
student_plain_direct,val,ge5,near,1.071826913834899,191366,10483,0.9506181871387812,0.9253422474784831,0.8469465430375172,0.646379853095488,0.8303566117866934,0.76240474742103,0.7042831250596203,0.7445621862891522,0.002507475755258662,0.17460176348686218,0.07109154070050237,0.00301889686101245,0.005453421879291639,0.1740279495716095,,0,teacher_only
student_plain_direct,val,ge5,far,1.071826913834899,191366,41787,0.9506181871387812,0.9253422474784831,0.8883360895246605,0.6699691291550004,0.8722400072187981,0.8674965874374961,0.6669538373178261,0.8458844437315822,0.002507475755258662,0.17460176348686218,0.07109154070050237,0.00301889686101245,0.005453421879291639,0.1740279495716095,,0,teacher_only
teacher,val,all,all,1.3010442577513663,200000,53779,0.97039,0.9574771338469912,0.899775659551126,0.5499544431841425,0.8915066672864873,0.8283150108313654,0.5953253128544599,0.8180255341304226,0.0074649629964679155,0.10575893521308899,0.04289710110630324,0.001129466472419988,0.0017896995647252105,0.10012764483690262,0.0,0,both
teacher,val,all,near,1.3010442577513663,200000,10959,0.97039,0.9574771338469912,0.8680930620950816,0.5785199379505429,0.8604920239072907,0.8091659015421117,0.5895610913404508,0.798912789488092,0.0074649629964679155,0.10575893521308899,0.04289710110630324,0.001129466472419988,0.0017896995647252105,0.10012764483690262,0.0,0,both
teacher,val,all,far,1.3010442577513663,200000,42820,0.97039,0.9574771338469912,0.907884243986455,0.5426436244745446,0.8994443010275572,0.8332158769850537,0.5968005604857544,0.8229170934142924,0.0074649629964679155,0.10575893521308899,0.04289710110630324,0.001129466472419988,0.0017896995647252105,0.10012764483690262,0.0,0,both
teacher,val,ge5,all,1.3010442577513663,191366,52270,0.9759100362655854,0.9652164823887045,0.9106665130168313,0.5002869714941649,0.9038404264699381,0.8393719558934084,0.5459345704993304,0.830301312960793,0.006243724356223887,0.0850970670580864,0.035179718852568764,0.0008035188333958839,0.0012095770224692382,0.08026324212551117,0.0,0,both
teacher,val,ge5,near,1.3010442577513663,191366,10483,0.9759100362655854,0.9652164823887045,0.8761537707710706,0.5335304779166269,0.8700734449383152,0.8174635078570247,0.5412572736811981,0.8084428996078559,0.006243724356223887,0.0850970670580864,0.035179718852568764,0.0008035188333958839,0.0012095770224692382,0.08026324212551117,0.0,0,both
teacher,val,ge5,far,1.3010442577513663,191366,41787,0.9759100362655854,0.9652164823887045,0.9193246381984026,0.49194725632373704,0.9123114645295262,0.8448680733645216,0.5471079522339484,0.835784878356223,0.006243724356223887,0.0850970670580864,0.035179718852568764,0.0008035188333958839,0.0012095770224692382,0.08026324212551117,0.0,0,both
student_both_direct,val,all,all,1.0633494395776124,200000,53779,0.94034,0.9129970475893325,0.8569712843303148,0.7281466743524424,0.8391564866397665,0.834768063323974,0.7518548132170549,0.8114090466538983,0.0035210813555866514,0.21197396516799927,0.08444164241327012,0.004044761173820668,0.005888204411938742,0.21138668060302734,0.0,0,both
student_both_direct,val,all,near,1.0633494395776124,200000,10959,0.94034,0.9129970475893325,0.8510231462724701,0.6934939319280956,0.8315393703805092,0.7648586974176476,0.7601970982753901,0.7446707217811844,0.0035210813555866514,0.21197396516799927,0.08444164241327012,0.004044761173820668,0.005888204411938742,0.21138668060302734,0.0,0,both
student_both_direct,val,all,far,1.0633494395776124,200000,42820,0.94034,0.9129970475893325,0.8584936020551145,0.7370154133582438,0.8411059489724428,0.852660093706212,0.7497197571228398,0.8284895067725363,0.0035210813555866514,0.21197396516799927,0.08444164241327012,0.004044761173820668,0.005888204411938742,0.21138668060302734,0.0,0,both
