model,split,flows,unknown,temperature,n_known,n_unknown,accuracy,macro_f1,auroc_msp,fpr95_msp,oscr_msp,auroc_energy,fpr95_energy,oscr_energy,ece,nll,brier,aurc,auroc_neg_kth_distance,fpr95_neg_kth_distance,oscr_neg_kth_distance
xgboost_flowstats,val,all,all,,4000,4000,0.66375,0.47762281819227914,0.6747195312500001,0.9185,0.547408875,0.6696006875,0.91725,0.526563875,0.24350182827003303,1.7242134809494019,0.5166440168125669,0.10637394169067957,,,
xgboost_flowstats,val,all,near,,4000,761,0.66375,0.47762281819227914,0.6980446780551905,0.8909329829172142,0.5600962549277266,0.7061121879106439,0.873850197109067,0.545350197109067,0.24350182827003303,1.7242134809494019,0.5166440168125669,0.10637394169067957,,,
xgboost_flowstats,val,all,far,,4000,3239,0.66375,0.47762281819227914,0.6692393099722136,0.924976844705156,0.5444279870330349,0.6610223448595245,0.9274467428218586,0.5221500463105897,0.24350182827003303,1.7242134809494019,0.5166440168125669,0.10637394169067957,,,
xgboost_flowstats,val,ge5,all,,3823,3906,0.670677478420089,0.47717778586086446,0.6794116685879614,0.9175627240143369,0.5534950355054479,0.67206959681203,0.9175627240143369,0.5329369800567053,0.24489247232769099,1.6921679973602295,0.5096995798268947,0.10329990030075198,,,
xgboost_flowstats,val,ge5,near,,3823,729,0.670677478420089,0.47717778586086446,0.7031880894176357,0.8820301783264746,0.5663095400842565,0.7119174715739368,0.8724279835390947,0.553679322360114,0.24489247232769099,1.6921679973602295,0.5096995798268947,0.10329990030075198,,,
xgboost_flowstats,val,ge5,far,,3823,3177,0.670677478420089,0.47717778586086446,0.6739558893040984,0.925716084356311,0.5505545967777326,0.6629260334813943,0.9279194208372679,0.5281774057604558,0.24489247232769099,1.6921679973602295,0.5096995798268947,0.10329990030075198,,,
knn_ppi,val,all,all,,4000,4000,0.5075,0.3280038001048268,0.6833781875,0.9695,0.43776356250000004,,,,0.07477500455267727,6.841477394104004,0.6388400013531,0.24516207610921584,0.674470125,0.89025,0.383416625
knn_ppi,val,all,near,,4000,761,0.5075,0.3280038001048268,0.6325589684625492,0.9868593955321945,0.42460118265440205,,,,0.07477500455267727,6.841477394104004,0.6388400013531,0.24516207610921584,0.5959599211563733,0.9211563731931669,0.34721879106438897
knn_ppi,val,all,far,,4000,3239,0.5075,0.3280038001048268,0.6953181151589997,0.9654214263661623,0.44085605125038596,,,,0.07477500455267727,6.841477394104004,0.6388400013531,0.24516207610921584,0.6929160234640321,0.8829885767212102,0.39192127199753
knn_ppi,val,ge5,all,,3823,3906,0.5103321998430552,0.3212825426001696,0.6858358516425564,0.9687660010240655,0.44136494837683743,,,,0.07428720988101307,6.740664482116699,0.6340256355961301,0.242119851646582,0.6748175372630074,0.888120839733743,0.38733122707454637
knn_ppi,val,ge5,near,,3823,729,0.5103321998430552,0.3212825426001696,0.6304039480912405,0.9862825788751715,0.42665808385962234,,,,0.07428720988101307,6.740664482116699,0.6340256355961301,0.242119851646582,0.6044678677573148,0.9176954732510288,0.35535512261178553
knn_ppi,val,ge5,far,,3823,3177,0.5103321998430552,0.3212825426001696,0.6985553535905922,0.9647466163046899,0.44473961133971107,,,,0.07428720988101307,6.740664482116699,0.6340256355961301,0.242119851646582,0.6909600959881097,0.881334592382751,0.394668520166568
