model,split,flows,unknown,temperature,n_known,n_unknown,accuracy,macro_f1,auroc_maha,fpr95_maha,oscr_maha,auroc_knnfeat,fpr95_knnfeat,oscr_knnfeat,ece,nll,brier,aurc,start,weeks_since
teacherA_0,val,all,all,,200000,37194,0.975405,0.9624407386147799,0.7654680129187503,0.8559176211216863,0.7505021761574447,0.8174485263080067,0.8009625208366941,0.801329092192289,0.0056245203746482595,0.09225162863731384,0.03707960686903488,0.0011603792803178059,24,1.0
teacherA_0,val,all,near,,200000,10090,0.975405,0.9624407386147799,0.6633837814667988,0.923191278493558,0.6514948746283449,0.7017653553022795,0.9228939544103072,0.6894464905847374,0.0056245203746482595,0.09225162863731384,0.03707960686903488,0.0011603792803178059,24,1.0
teacherA_0,val,all,far,,200000,27104,0.975405,0.9624407386147799,0.8034708868617179,0.8308736717827627,0.7873596020882527,0.8605138744281288,0.7555711334120425,0.8429796031951003,0.0056245203746482595,0.09225162863731384,0.03707960686903488,0.0011603792803178059,24,1.0
teacherA_0,val,ge5,all,,191393,35514,0.9774599906997644,0.9653518410521666,0.7735240695600765,0.8520301852790448,0.7599048794969804,0.8256679818806882,0.8010080531621332,0.8111428953447732,0.0056364266387005525,0.08426753431558609,0.033941873867496315,0.0009890014407785228,24,1.0
teacherA_0,val,ge5,near,,191393,9767,0.9774599906997644,0.9653518410521666,0.6680518141850809,0.9219821849083649,0.6572836210260651,0.7069937080757124,0.9245418245111089,0.6960672608146804,0.0056364266387005525,0.08426753431558609,0.033941873867496315,0.0009890014407785228,24,1.0
teacherA_0,val,ge5,far,,191393,25747,0.9774599906997644,0.9653518410521666,0.8135344598287518,0.8254942323377481,0.7988337578705942,0.8706864940278587,0.7541461141103818,0.854796281077302,0.0056364266387005525,0.08426753431558609,0.033941873867496315,0.0009890014407785228,24,1.0
teacherA_0,test_w29-32,all,all,,100000,100000,0.95912,0.9263622955163784,0.8261175999,0.77353,0.8016646375,0.8517277373999999,0.70704,0.8254485344,0.01721853122457867,0.18503758311271667,0.06485804509991852,0.0032501431881544,24,3.5
teacherA_0,test_w29-32,all,near,,100000,16111,0.95912,0.9263622955163784,0.8441818487368878,0.7472534293339954,0.818403347402396,0.8865992728570542,0.6579976413630438,0.8576518415989076,0.01721853122457867,0.18503758311271667,0.06485804509991852,0.0032501431881544,24,3.5
teacherA_0,test_w29-32,all,far,,100000,83889,0.95912,0.9263622955163784,0.822648335598231,0.7785764522166195,0.7984499448080201,0.8450306101515097,0.7164586536971475,0.8192638441273588,0.01721853122457867,0.18503758311271667,0.06485804509991852,0.0032501431881544,24,3.5
teacherA_0,test_w29-32,ge5,all,,95313,94723,0.9608762708130055,0.9284721884286999,0.8306093741943056,0.7717977682294691,0.8074546974032799,0.857028661409413,0.7011074395870063,0.8321223857378107,0.017811479719336304,0.17739181220531464,0.06202752219820644,0.0029178607885797826,24,3.5
teacherA_0,test_w29-32,ge5,near,,95313,15529,0.9608762708130055,0.9284721884286999,0.8436297096682741,0.7631528108699852,0.8194978560110107,0.8884837707508296,0.6576727413226866,0.8611735487464571,0.017811479719336304,0.17739181220531464,0.06202752219820644,0.0029178607885797826,24,3.5
teacherA_0,test_w29-32,ge5,far,,95313,79194,0.9608762708130055,0.9284721884286999,0.8280562415128491,0.7734929413844484,0.8050931774646551,0.8508606891771371,0.7096244664999873,0.8264257987443356,0.017811479719336304,0.17739181220531464,0.06202752219820644,0.0029178607885797826,24,3.5
teacherA_0,test_w33-36,all,all,,100000,100000,0.93446,0.8897789752508064,0.802951704,0.82184,0.7658775600999999,0.830144346,0.73964,0.789699315,0.03244982690244912,0.33059367537498474,0.10374270725791876,0.006738171042252589,24,7.5
teacherA_0,test_w33-36,all,near,,100000,15732,0.93446,0.8897789752508064,0.8350459817569286,0.7658911772184084,0.7941814073226544,0.8786539238494787,0.6624078311721332,0.8324018484617339,0.03244982690244912,0.33059367537498474,0.10374270725791876,0.006738171042252589,24,7.5
teacherA_0,test_w33-36,all,far,,100000,84268,0.93446,0.8897789752508064,0.796960020589073,0.8322850904257844,0.7605935124839798,0.8210880888356196,0.7540584800873404,0.781727175440262,0.03244982690244912,0.33059367537498474,0.10374270725791876,0.006738171042252589,24,7.5
teacherA_0,test_w33-36,ge5,all,,95121,93782,0.9398870911786041,0.8947526720724066,0.8072788016004445,0.8192723550361477,0.773429334578568,0.8372564423624111,0.7354076475229788,0.8006867236020094,0.03107753469787322,0.310854971408844,0.096784311786777,0.006056950030034349,24,7.5
teacherA_0,test_w33-36,ge5,near,,95121,15221,0.9398870911786041,0.8947526720724066,0.8353226187399261,0.7755732212075422,0.7985482466769366,0.8805769355040838,0.6674988502726497,0.8391690102855319,0.03107753469787322,0.310854971408844,0.096784311786777,0.006056950030034349,24,7.5
teacherA_0,test_w33-36,ge5,far,,95121,78561,0.9398870911786041,0.8947526720724066,0.8018453811923535,0.8277389544430442,0.7685626073086852,0.8288632036547904,0.7485648095110805,0.7932308754634942,0.03107753469787322,0.310854971408844,0.096784311786777,0.006056950030034349,24,7.5
teacherA_0,test_w37-40,all,all,,100000,100000,0.91384,0.8720371625895136,0.7652620592000001,0.87377,0.7212220746999999,0.79205881585,0.80379,0.7433384279000002,0.04688618366956715,0.4703204929828644,0.13582443684186352,0.010450605498346515,24,11.5
teacherA_0,test_w37-40,all,near,,100000,12184,0.91384,0.8720371625895136,0.8180749068450427,0.7894780039395929,0.7663847989166119,0.8595067268548916,0.7198785292186474,0.8010494156270518,0.04688618366956715,0.4703204929828644,0.13582443684186352,0.010450605498346515,24,11.5
