start,split,weeks_since,score,ensemble,member_mean,member_spread,teacherA_0,teacherA_1,teacherA_2,teacherA_3,teacherA_4
11,test_w16-19,3.5,energy,0.86912815005,0.8579493442199999,0.02364426924999996,0.85066820665,0.87379262195,0.8544897284,0.8606478114,0.8501483527
11,test_w16-19,3.5,msp,0.904544364,0.8789571855399998,0.016935523350000037,0.87371315035,0.88961680135,0.88112528945,0.87764940855,0.872681278
11,test_w16-19,3.5,maha,0.7845433651,0.77480395529,0.012155335699999936,0.777093885,0.77121289545,0.7699374043,0.7736828517,0.78209274
11,test_w16-19,3.5,knnfeat,0.803255906,0.79797162865,0.008006467600000011,0.7990099049,0.797610762,0.79694227025,0.79414436925,0.80215083685
11,test_w20-23,7.5,energy,0.86296738665,0.85186262686,0.028446055299999995,0.8414775011,0.8699235564,0.84688908505,0.85729480305,0.8437281887
11,test_w20-23,7.5,msp,0.89605533855,0.86757762073,0.020992885550000007,0.86119192645,0.88122322935,0.86859637435,0.8666462297,0.8602303438
11,test_w20-23,7.5,maha,0.7926426076,0.7823285952400001,0.013811046349999967,0.78419357145,0.78025934,0.77608410075,0.7812108169,0.7898951471
11,test_w20-23,7.5,knnfeat,0.80662194275,0.8012347745399999,0.008491059799999978,0.8020575816,0.8020341194,0.7978331077,0.7979248965,0.8063241675
11,test_w24-27,11.5,energy,0.84100601,0.82998782648,0.022868981949999978,0.8246935219,0.8450472651,0.82217828315,0.83545345395,0.8225666083
11,test_w24-27,11.5,msp,0.87818141315,0.8498865610300002,0.023402066649999997,0.84431001475,0.8646278865,0.8500801021,0.84918898195,0.84122581985
11,test_w24-27,11.5,maha,0.7755649673,0.7656393108599999,0.01579984050000005,0.76683848,0.7647321093,0.75879088155,0.7632443614,0.77459072205
11,test_w24-27,11.5,knnfeat,0.79113061005,0.78590714731,0.011750771350000022,0.78714708715,0.7878588443,0.7802077367,0.78236356035,0.79195850805
11,test_w28-31,15.5,energy,0.82946782395,0.8177011937199999,0.019046007649999974,0.8171219474,0.82720130215,0.8081552945,0.82173708395,0.8142903406
11,test_w28-31,15.5,msp,0.8585708321,0.82910819853,0.014801444549999987,0.82633750955,0.8387147116,0.82848411735,0.8280913871,0.82391326705
11,test_w28-31,15.5,maha,0.76283757125,0.7519301477699999,0.016966838500000025,0.7515229405,0.7519828509,0.7459308818,0.74731634535,0.7628977203
11,test_w28-31,15.5,knnfeat,0.790780537,0.7846626620499999,0.014524332050000033,0.78700843775,0.78411534895,0.77817370465,0.7813177822,0.7926980367
11,test_w32-35,19.5,energy,0.8146222198,0.80221013556,0.016089877949999942,0.79822496995,0.8129302784,0.79684040045,0.8041859353,0.7988690937
11,test_w32-35,19.5,msp,0.8424892759,0.814423665,0.014915339999999944,0.8113929776,0.82400220345,0.81570219275,0.81193408775,0.80908686345
11,test_w32-35,19.5,maha,0.7469183066,0.7365511551899999,0.017006056200000064,0.735939824,0.73704761925,0.7310555364,0.73085337005,0.74785942625
11,test_w32-35,19.5,knnfeat,0.77329795125,0.76750083528,0.012585527649999984,0.76936517065,0.7679197648,0.7615466349,0.7645404435,0.77413216255
11,test_w36-39,23.5,energy,0.8124539821,0.8000451569700001,0.013316985100000012,0.79413922005,0.80745620515,0.7998899738,0.8030887631,0.79565162275
11,test_w36-39,23.5,msp,0.842263182,0.81747155935,0.016793153799999905,0.81274535945,0.82780097105,0.82032557355,0.81547807545,0.81100781725
11,test_w36-39,23.5,maha,0.71984925355,0.71011105499,0.013697783949999986,0.7139565414,0.7073038793,0.7065329184,0.70453207595,0.7182298599
11,test_w36-39,23.5,knnfeat,0.73690295025,0.7318137091300001,0.008298850899999932,0.7353280591,0.7327837215,0.7289780755,0.7270292082,0.73494948135
11,test_w40-43,27.5,energy,0.80316392075,0.79089163463,0.01640951820000003,0.7862390608,0.79969364175,0.79141463505,0.793826712,0.78328412355
11,test_w40-43,27.5,msp,0.83222545165,0.80785543245,0.020102586650000087,0.80448420295,0.81853234755,0.8101889986,0.80764185225,0.7984297609
11,test_w40-43,27.5,maha,0.72198197905,0.71074578771,0.018451067450000025,0.71731908585,0.70556680465,0.7057786607,0.70330665995,0.7217577274
11,test_w40-43,27.5,knnfeat,0.7376480177,0.7316842306,0.01422294125000001,0.738000137,0.731950368,0.7291551522,0.72377719575,0.73553830005
11,test_w44-47,31.5,energy,0.7861907242,0.7746134469599999,0.015898118149999974,0.768967823,0.78247275545,0.77634072975,0.7787112893,0.7665746373
11,test_w44-47,31.5,msp,0.81419921545,0.79285685779,0.017751758399999984,0.788559964,0.8017322688,0.79844245305,0.7915690927,0.7839805104
11,test_w44-47,31.5,maha,0.70120776025,0.69059089549,0.024249854350000044,0.69489191075,0.6833369703,0.69009955995,0.68018809105,0.7044379454
11,test_w44-47,31.5,knnfeat,0.71861474315,0.7130129743799999,0.015452659250000056,0.71822576575,0.7139782962,0.7115291317,0.7029395095,0.71839216875
11,test_w48-51,35.333333333333336,energy,0.7844257147,0.7724848521200001,0.01990015114999999,0.7675038096,0.7837157033,0.77224333475,0.7751458608,0.76381555215
11,test_w48-51,35.333333333333336,msp,0.81153217155,0.7898976410699999,0.01967780809999997,0.7850106941,0.80124752495,0.79443933965,0.7872209298,0.78156971685
11,test_w48-51,35.333333333333336,maha,0.6970333488,0.687019132,0.02644812190000001,0.6906503596,0.67749365925,0.68602818495,0.67723766715,0.70368578905
11,test_w48-51,35.333333333333336,knnfeat,0.71659894825,0.71120698048,0.018977068350000015,0.71564852695,0.71110405335,0.70959424655,0.7003555036,0.71933257195
24,test_w29-32,3.5,energy,0.8736590937,0.8598568240399999,0.011190548050000082,0.8655583206,0.86315842525,0.85981543285,0.85436777255,0.85638416895
24,test_w29-32,3.5,msp,0.9058487617,0.8808284812299998,0.009758290049999951,0.8872675857,0.88142720855,0.87923236155,0.87750929565,0.8787059547
24,test_w29-32,3.5,maha,0.83275949015,0.82033317713,0.009431870799999964,0.8261175999,0.818357933,0.81994793205,0.8166857291,0.8205566916
24,test_w29-32,3.5,knnfeat,0.85612838355,0.8495935571100001,0.0038155189999999894,0.8517277374,0.8495895138,0.85053983405,0.8481984819,0.8479122184
24,test_w33-36,7.5,energy,0.85733603665,0.84342357333,0.010791202649999998,0.84876048585,0.84680967805,0.84365132495,0.8399270946,0.8379692832
24,test_w33-36,7.5,msp,0.88951862225,0.86619071679,0.010651419750000057,0.872279294,0.86851084755,0.86318396885,0.86162787425,0.8653515993
24,test_w33-36,7.5,maha,0.80779545385,0.79657343718,0.010373376099999998,0.802951704,0.79951427675,0.7938248921,0.7925783279,0.79399798515
24,test_w33-36,7.5,knnfeat,0.8338860379,0.8274977528699999,0.006954249299999993,0.830144346,0.83022316895,0.82927584685,0.82326891965,0.8245764829
24,test_w37-40,11.5,energy,0.86298884045,0.8497719327500001,0.007758413899999983,0.85420689225,0.84966252255,0.8512118791,0.8473298915,0.84644847835
24,test_w37-40,11.5,msp,0.8889360169,0.8671228434,0.009543320250000042,0.87266443465,0.86835771725,0.8663169892,0.8631211144,0.8651539615
24,test_w37-40,11.5,maha,0.7765974702,0.76571386687,0.010812246049999974,0.7652620592,0.77297576895,0.7621635229,0.76575789335,0.76241008995
24,test_w37-40,11.5,knnfeat,0.7997024331,0.7931740570499999,0.00728457969999996,0.79205881585,0.79743634675,0.7948225507,0.7914008049,0.79015176705
24,test_w41-44,15.5,energy,0.84745865435,0.8344240393,0.009959951900000097,0.83898580995,0.83601084035,0.8360081876,0.83208950055,0.82902585805
24,test_w41-44,15.5,msp,0.87664804305,0.8553232596600001,0.008597133400000012,0.86058321865,0.8562919363,0.8543812355,0.85198608525,0.8533738226
24,test_w41-44,15.5,maha,0.77444630555,0.7630016239099999,0.006532608999999967,0.7632303493,0.7668260463,0.76035301505,0.7643052716,0.7602934373
24,test_w41-44,15.5,knnfeat,0.79847857575,0.79168253623,0.005956449899999994,0.7917198764,0.7946994819,0.7937395851,0.78951070575,0.788743032
24,test_w45-48,19.5,energy,0.82730202795,0.81484873273,0.012384640099999955,0.8209295849,0.81632822675,0.8179482559,0.8104926513,0.8085449448
24,test_w45-48,19.5,msp,0.85769818825,0.8372628108599999,0.009210895850000012,0.8433715727,0.8363321566,0.83724940195,0.83416067685,0.8352002462
